pair_key,signals,long_executable,diagnostic_only,has_overlap,overlap_duration_ms,source_range_bps,target_range_bps,valid_returns,candidate,data_issue
kraken:BTC/USDT->kraken:DOGE/USD,0,0,0,False,0.0,0.0,0.0,0,False,source_subscription_failed,target_subscription_failed,source_zero_ticks,target_zero_ticks,no_true_overlap
kraken:BTC/USDT->coinbase:SOL/USD,0,0,0,False,0.0,0.0,14.716703458425373,0,False,source_subscription_failed,source_zero_ticks,no_true_overlap
kraken:BTC/USDT->coinbase:LINK/USD,0,0,0,False,0.0,0.0,30.455886551822623,0,False,source_subscription_failed,source_zero_ticks,no_true_overlap
kraken:BTC/USDT->coinbase:DOGE/USD,0,0,0,False,0.0,0.0,41.12650871703068,0,False,source_subscription_failed,source_zero_ticks,no_true_overlap
kraken:ETH/USDT->kraken:SOL/USD,25,12,13,True,258672.420096,7.249585427899499,15.769554247265713,175,False,
kraken:ETH/USDT->kraken:LINK/USD,25,12,13,True,258672.420096,7.249585427899499,26.79298870792132,175,False,
kraken:ETH/USDT->kraken:DOGE/USD,0,0,0,False,0.0,7.249585427899499,0.0,0,False,target_subscription_failed,target_zero_ticks,no_true_overlap
kraken:ETH/USDT->coinbase:SOL/USD,25,12,13,True,258672.420096,7.249585427899499,14.716703458425373,175,False,
kraken:ETH/USDT->coinbase:LINK/USD,25,12,13,True,258672.420096,7.249585427899499,30.455886551822623,175,False,
kraken:ETH/USDT->coinbase:DOGE/USD,25,12,13,True,258672.420096,7.249585427899499,41.12650871703068,175,False,
kraken:BTC/USD->kraken:SOL/USD,235,132,103,True,863939.793152,8.91578167448717,15.769554247265713,1645,False,
kraken:BTC/USD->kraken:LINK/USD,235,132,103,True,807770.413056,8.91578167448717,26.79298870792132,1645,False,
kraken:BTC/USD->kraken:DOGE/USD,0,0,0,False,0.0,8.91578167448717,0.0,0,False,target_subscription_failed,target_zero_ticks,no_true_overlap
kraken:BTC/USD->coinbase:SOL/USD,235,132,103,True,873687.86816,8.91578167448717,14.716703458425373,1645,False,
kraken:BTC/USD->coinbase:LINK/USD,235,132,103,True,866350.336,8.91578167448717,30.455886551822623,1645,False,
kraken:BTC/USD->coinbase:DOGE/USD,235,132,103,True,873687.86816,8.91578167448717,41.12650871703068,1645,False,
kraken:ETH/USD->kraken:SOL/USD,124,52,72,True,862905.163008,15.735504427240203,15.769554247265713,868,False,
kraken:ETH/USD->kraken:LINK/USD,124,52,72,True,806933.980928,15.735504427240203,26.79298870792132,868,False,
kraken:ETH/USD->kraken:DOGE/USD,0,0,0,False,0.0,15.735504427240203,0.0,0,False,target_subscription_failed,target_zero_ticks,no_true_overlap
kraken:ETH/USD->coinbase:SOL/USD,124,52,72,True,871816.805888,15.735504427240203,14.716703458425373,868,False,
kraken:ETH/USD->coinbase:LINK/USD,124,52,72,True,865315.705856,15.735504427240203,30.455886551822623,868,False,
kraken:ETH/USD->coinbase:DOGE/USD,124,52,72,True,871816.805888,15.735504427240203,41.12650871703068,868,False,
