trade_num,side,entry_price,exit_price,realized_pnl,commissions
225,FLAT,94965.84,94732.44,-18.07 USD,['13.82 USD']
226,FLAT,94717.54999999999,94388.03,-19.77 USD,['13.77 USD']
227,FLAT,94918.5,94721.42,-17.30 USD,['13.73 USD']
228,FLAT,95260.01,96334.98999999999,5.55 USD,['13.78 USD']
229,FLAT,96788.05,96783.3,-13.80 USD,['13.72 USD']
230,FLAT,97447.29,96879.23999999999,-23.61 USD,['13.64 USD']
231,FLAT,97306.28,97089.99,-17.40 USD,['13.61 USD']
232,FLAT,97770.01,99118.86,9.75 USD,['13.68 USD']
233,FLAT,100470.59,102366.49,18.37 USD,['13.73 USD']
234,FLAT,103131.45999999999,102752.3,-19.90 USD,['13.63 USD']
235,FLAT,103710.0,102998.53,-25.23 USD,['13.56 USD']
236,FLAT,103375.31,103179.54,-16.74 USD,['13.53 USD']
237,FLAT,103200.0,103033.25,-16.22 USD,['13.49 USD']
238,FLAT,103361.0,103432.51,-12.31 USD,['13.47 USD']
239,FLAT,103988.98999999999,103576.46,-20.07 USD,['13.41 USD']
240,FLAT,104319.90000000001,104269.84999999999,-14.18 USD,['13.38 USD']
241,FLAT,104662.67,104280.01,-19.43 USD,['13.33 USD']
242,FLAT,105639.99,105300.0,-18.63 USD,['13.28 USD']
243,FLAT,102967.87999999999,102608.56999999999,-19.02 USD,['13.24 USD']
244,FLAT,102915.71999999999,102665.34,-17.22 USD,['13.20 USD']
245,FLAT,102969.92,103082.14,-11.39 USD,['13.18 USD']
246,FLAT,104314.43999999999,103854.11,-20.36 USD,['13.11 USD']
247,FLAT,104426.96,104140.79000000001,-17.57 USD,['13.08 USD']
248,FLAT,103952.39,103712.79000000001,-16.80 USD,['13.04 USD']
249,FLAT,103704.98999999999,103496.67,-16.27 USD,['13.00 USD']
250,FLAT,103105.84999999999,102697.31,-19.38 USD,['12.95 USD']
251,FLAT,104072.51999999999,103830.51,-16.68 USD,['12.92 USD']
252,FLAT,104099.89,103796.95,-17.57 USD,['12.88 USD']
253,FLAT,103670.11,103514.59999999999,-15.24 USD,['12.83 USD']
254,FLAT,103406.75,103199.91,-16.00 USD,['12.80 USD']
255,FLAT,103428.56999999999,103328.51999999999,-14.31 USD,['12.77 USD']
256,FLAT,103608.81,103509.99,-14.25 USD,['12.73 USD']
257,FLAT,103840.04,103722.81999999999,-14.49 USD,['12.70 USD']
258,FLAT,104319.0,104351.03,-12.18 USD,['12.67 USD']
259,FLAT,105420.0,104978.62000000001,-19.23 USD,['12.61 USD']
260,FLAT,103963.87999999999,105553.31999999999,11.38 USD,['12.69 USD']
261,FLAT,105745.41,105400.0,-17.75 USD,['12.60 USD']
262,FLAT,107026.47,106472.47,-20.69 USD,['12.55 USD']
263,FLAT,107527.92,106836.24,-22.55 USD,['12.48 USD']
264,FLAT,107346.0,106975.90000000001,-17.84 USD,['12.46 USD']
265,FLAT,108899.99,110445.99,9.54 USD,['12.52 USD']
266,FLAT,111608.69,111154.24,-18.77 USD,['12.43 USD']
267,FLAT,111912.01999999999,111518.5,-17.84 USD,['12.39 USD']
268,FLAT,111783.37,111478.26,-16.57 USD,['12.35 USD']
269,FLAT,111321.35,110941.03,-17.56 USD,['12.30 USD']
270,FLAT,108470.42,108222.46,-15.78 USD,['12.27 USD']
271,FLAT,108569.41,108808.2,-8.89 USD,['12.26 USD']
272,FLAT,107622.97,107460.0,-14.52 USD,['12.21 USD']
273,FLAT,108947.94,109571.43000000001,-3.51 USD,['12.23 USD']
274,FLAT,110010.42,109746.55,-15.82 USD,['12.17 USD']
275,FLAT,110136.36,109700.01,-18.13 USD,['12.12 USD']
276,FLAT,109439.13,109535.20999999999,-10.78 USD,['12.11 USD']
277,FLAT,108285.31999999999,107913.31,-17.25 USD,['12.06 USD']
278,FLAT,108434.79000000001,108141.67,-16.09 USD,['12.02 USD']
279,FLAT,108207.03,108277.89,-11.02 USD,['12.00 USD']
280,FLAT,106224.56,106076.26999999999,-14.05 USD,['11.96 USD']
281,FLAT,104033.95999999999,104517.74,-5.03 USD,['11.97 USD']
282,FLAT,104532.47,104597.90000000001,-11.00 USD,['11.93 USD']
283,FLAT,105496.54000000001,105285.37,-14.87 USD,['11.89 USD']
284,FLAT,105433.97,104949.47,-18.64 USD,['11.83 USD']
285,FLAT,104895.1,104617.02,-15.72 USD,['11.80 USD']
286,FLAT,105908.98999999999,105666.66,-15.14 USD,['11.77 USD']
287,FLAT,105579.94,105278.8,-15.91 USD,['11.72 USD']
288,FLAT,106534.18,106169.52,-16.69 USD,['11.68 USD']
289,FLAT,105953.05,105734.34,-14.66 USD,['11.65 USD']
290,FLAT,104953.90000000001,104940.01,-11.81 USD,['11.62 USD']
291,FLAT,102511.62,104372.09,14.61 USD,['11.71 USD']
292,FLAT,104591.93,104737.31999999999,-9.63 USD,['11.65 USD']
293,FLAT,105278.68000000001,105651.26000000001,-6.50 USD,['11.64 USD']
294,FLAT,105765.48,105563.18000000001,-14.36 USD,['11.59 USD']
295,FLAT,105847.99,105627.90000000001,-14.56 USD,['11.55 USD']
296,FLAT,106431.32,106331.92,-12.87 USD,['11.52 USD']
297,FLAT,105926.39,109395.51,35.38 USD,['11.69 USD']
298,FLAT,109745.28,109492.13,-14.91 USD,['11.57 USD']
299,FLAT,109900.0,109428.59,-17.71 USD,['11.52 USD']
300,FLAT,109571.47,109666.28,-10.27 USD,['11.51 USD']
301,FLAT,109990.0,109507.98000000001,-17.74 USD,['11.45 USD']
302,FLAT,107860.0,107581.22,-15.11 USD,['11.42 USD']
303,FLAT,105087.5,104673.70999999999,-16.99 USD,['11.38 USD']
304,FLAT,105477.95999999999,105063.2,-16.92 USD,['11.34 USD']
305,FLAT,105662.4,105460.01,-14.02 USD,['11.31 USD']
306,FLAT,105241.92,105426.33,-8.82 USD,['11.29 USD']
307,FLAT,105677.99,105441.18000000001,-14.41 USD,['11.25 USD']
308,FLAT,105607.59,105207.01000000001,-16.52 USD,['11.20 USD']
309,FLAT,106024.73,106588.72,-3.77 USD,['11.21 USD']
310,FLAT,107753.11,107992.7,-8.08 USD,['11.19 USD']
311,FLAT,105035.98000000001,104756.0,-14.87 USD,['11.15 USD']
312,FLAT,105210.85,105008.79000000001,-13.78 USD,['11.11 USD']
313,FLAT,105045.77,104817.81,-14.09 USD,['11.08 USD']
314,FLAT,105187.35,104583.92,-18.96 USD,['11.03 USD']
315,FLAT,105044.98999999999,104843.70999999999,-13.65 USD,['11.01 USD']
316,FLAT,104817.90000000001,104603.69,-13.77 USD,['10.97 USD']
317,FLAT,104999.99,105576.61,-3.46 USD,['10.97 USD']
318,FLAT,103666.73,103563.96,-12.29 USD,['10.93 USD']
319,FLAT,103619.94,103713.49,-9.68 USD,['10.91 USD']
320,FLAT,100911.98000000001,101431.2,-3.91 USD,['10.91 USD']
321,FLAT,102354.14,101567.56,-21.29 USD,['10.84 USD']
322,FLAT,102868.0,104933.74,15.98 USD,['10.76 USD']
323,FLAT,105470.01999999999,105236.21,-13.86 USD,['10.85 USD']
324,FLAT,106217.99,105925.59,-14.55 USD,['10.82 USD']
325,FLAT,106725.57,106400.0,-14.90 USD,['10.78 USD']
326,FLAT,106672.03,106471.65000000001,-13.28 USD,['10.75 USD']
327,FLAT,106832.53,106506.68000000001,-14.80 USD,['10.71 USD']
328,FLAT,107108.63,107052.81,-11.39 USD,['10.69 USD']
329,FLAT,107968.0,107705.04,-13.90 USD,['10.65 USD']
330,FLAT,107589.08,107406.71,-12.88 USD,['10.63 USD']
331,FLAT,107314.63,107168.79000000001,-12.39 USD,['10.59 USD']
332,FLAT,107554.11,107440.01,-11.97 USD,['10.57 USD']
333,FLAT,107614.13,107344.0,-13.84 USD,['10.53 USD']
334,FLAT,107534.43999999999,107208.51999999999,-14.47 USD,['10.49 USD']
335,FLAT,107196.39,107097.66,-11.68 USD,['10.47 USD']
336,FLAT,107278.42,107198.46,-11.41 USD,['10.44 USD']
337,FLAT,107361.44,107309.19,-11.05 USD,['10.42 USD']
338,FLAT,107431.48000000001,107360.01,-11.25 USD,['10.39 USD']
339,FLAT,107376.95,107347.64,-10.71 USD,['10.36 USD']
340,FLAT,107627.71999999999,107868.47,-7.46 USD,['10.35 USD']
341,FLAT,107973.95999999999,108306.73,-6.36 USD,['10.34 USD']
342,FLAT,106158.42,108991.99,23.95 USD,['10.44 USD']
343,FLAT,109235.1,109297.0,-9.64 USD,['10.37 USD']
344,FLAT,110309.57,109755.81,-16.80 USD,['10.31 USD']
345,FLAT,109877.99,109705.72,-12.31 USD,['10.29 USD']
346,FLAT,108244.66,108057.36,-12.49 USD,['10.27 USD']
347,FLAT,108258.09,108122.41,-11.83 USD,['10.23 USD']
348,FLAT,108178.01,108096.0,-11.18 USD,['10.21 USD']
349,FLAT,108117.56000000001,108554.78,-5.05 USD,['10.20 USD']
350,FLAT,109009.02,108847.16,-12.06 USD,['10.17 USD']
351,FLAT,109615.99,109450.01,-12.05 USD,['10.13 USD']
352,FLAT,108425.06,108236.73999999999,-12.31 USD,['10.11 USD']
353,FLAT,108197.99,108587.0,-5.57 USD,['10.10 USD']
354,FLAT,109147.56,108950.0,-12.35 USD,['10.07 USD']
355,FLAT,109014.63,108861.1,-11.80 USD,['10.03 USD']
356,FLAT,108881.93,108908.94,-9.71 USD,['10.02 USD']
357,FLAT,109656.59,110940.26,4.57 USD,['10.05 USD']
358,FLAT,111408.4,117396.0,56.93 USD,['10.27 USD']
359,FLAT,118076.78,117664.46,-14.55 USD,['10.12 USD']
360,FLAT,117820.0,117675.99,-11.64 USD,['10.10 USD']
361,FLAT,117910.0,117733.48,-11.96 USD,['10.07 USD']
362,FLAT,118060.0,117676.3,-14.11 USD,['10.03 USD']
363,FLAT,117646.85,117700.0,-9.45 USD,['10.02 USD']
364,FLAT,118059.85,117955.25,-11.10 USD,['9.99 USD']
365,FLAT,118511.34999999999,118175.01,-13.49 USD,['9.95 USD']
366,FLAT,119265.87,118735.07,-15.44 USD,['9.91 USD']
367,FLAT,119181.28,118836.0,-13.46 USD,['9.88 USD']
368,FLAT,119609.77000000002,121388.23999999999,8.39 USD,['9.94 USD']
369,FLAT,118282.95999999999,117301.95999999999,-20.09 USD,['9.84 USD']
370,FLAT,117729.27,117436.56,-12.89 USD,['9.83 USD']
371,FLAT,118076.65000000001,118488.97000000002,-5.54 USD,['9.82 USD']
372,FLAT,119310.91,118613.53,-16.92 USD,['9.77 USD']
373,FLAT,119817.86000000002,119213.77000000002,-15.87 USD,['9.73 USD']
374,FLAT,119920.71,119391.02999999998,-15.05 USD,['9.69 USD']
375,FLAT,119073.45000000001,118658.84999999999,-13.87 USD,['9.66 USD']
376,FLAT,119261.49999999999,118747.91999999998,-14.81 USD,['9.62 USD']
377,FLAT,120065.99,119486.70999999999,-15.37 USD,['9.58 USD']
378,FLAT,118029.79999999999,118065.79999999999,-9.22 USD,['9.58 USD']
379,FLAT,118327.98999999999,118185.24999999999,-10.98 USD,['9.54 USD']
380,FLAT,118107.15,117900.0,-11.60 USD,['9.51 USD']
381,FLAT,118215.3,118036.01,-11.29 USD,['9.49 USD']
382,FLAT,118340.71,118216.36,-10.70 USD,['9.46 USD']
383,FLAT,118359.98000000001,118617.0,-6.89 USD,['9.45 USD']
384,FLAT,117847.26000000001,118300.01000000001,-4.91 USD,['9.44 USD']
385,FLAT,119985.99,119496.41,-14.20 USD,['9.40 USD']
386,FLAT,120199.98999999999,119860.0,-12.69 USD,['9.37 USD']
387,FLAT,118684.04,118680.98,-9.37 USD,['9.34 USD']
388,FLAT,118814.45999999999,118430.43000000001,-13.08 USD,['9.31 USD']
389,FLAT,118874.38,118473.31999999999,-13.20 USD,['9.28 USD']
390,FLAT,116630.43999999999,116263.94,-12.89 USD,['9.25 USD']
391,FLAT,116498.34999999999,117327.44,-1.06 USD,['9.27 USD']
392,FLAT,117562.71,117478.5,-10.05 USD,['9.22 USD']
393,FLAT,117621.78,117940.76000000001,-6.10 USD,['9.22 USD']
394,FLAT,118310.01,118091.45,-11.31 USD,['9.19 USD']
395,FLAT,118295.23999999999,118770.43999999999,-4.58 USD,['9.18 USD']
396,FLAT,119524.0,119227.98999999999,-11.97 USD,['9.14 USD']
397,FLAT,118496.1,118568.46999999999,-8.42 USD,['9.12 USD']
398,FLAT,118097.73,117911.19,-10.89 USD,['9.09 USD']
