address,total_fills,unique_coins,frozen_coins,non_frozen_coins,total_gross_turnover,total_net_delta,pairability_rate,side_B,side_A
0x010461c14e146ac35fe42271bdc1134ee31c703a,21396,180,33,147,3758828.92613,6336319.77569,0.9493363245466442,10156,11240
0x31ca8395cf837de08b24da3f660e77761dfb974b,20062,180,33,147,3528930.653185,6423902.12575,0.9204466154919749,9233,10829
