address,coin,fill_count,signed_delta,turnover,is_frozen
0x010461c14e146ac35fe42271bdc1134ee31c703a,ETC,79,-258.1,9775.114579,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,TON,392,2529.9,91245.86021,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,NEO,81,-509.23,3781.532085,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,HYPE,175,-310.97,60584.73051,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,IMX,143,58522.4,14796.938496,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,AXS,106,-4108.0,9270.92627,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,POL,107,78836.0,18614.460641,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,RESOLV,74,-3364.0,3464.648239,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,AERO,231,-9846.0,29204.40277,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,UNI,68,22.0,11282.52575,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,CC,108,-24528.0,9360.25382,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,DOOD,50,-152257.0,1459.363465,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,kPEPE,94,-567370.0,28131.892338,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,DYM,141,-64638.7,19184.930506,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,INIT,66,12475.0,11979.474155,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,BTC,213,0.03989,131595.71157,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,TURBO,53,-1077075.0,4747.863012,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,STX,93,6862.9,6439.280403,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,RUNE,72,5603.9,5252.726048,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,RENDER,124,32.3,20365.50814,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,kNEIRO,57,17194.4,8221.276152,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,MELANIA,90,316.9,2587.669303,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,GRIFFAIN,102,-19497.0,5235.407665,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,SEI,94,17573.0,11757.745785,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,TRX,96,677.0,15277.41849,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,HBAR,92,4780.0,14522.690842,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,ME,80,13791.8,3730.776979,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,PENDLE,163,-2000.0,25848.7508,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,MNT,80,3512.7,13874.31033,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,FIL,105,-3976.1,11198.920783,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,YGG,70,-6854.0,3243.449686,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,ZORA,135,808745.0,23271.555387,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,KAS,46,-57231.0,6296.628644,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,ICP,116,-778.3,31274.48653,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,kFLOKI,75,10447.0,4880.460017,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,ACE,53,12306.63,2660.084618,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,DOT,91,1426.6,11281.98108,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,DOGE,93,30262.0,29824.07208,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,IO,127,5084.8,12195.986951,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,BLUR,113,-9426.0,7661.357464,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,SOPH,79,348280.0,5445.149921,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,LINK,160,-119.2,40597.41921,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,ETH,169,-5.5772,91042.41253,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,MOODENG,71,5499.0,7637.454408,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,GALA,95,784669.0,4117.951996,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,ENS,32,-212.98,1898.31723,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,XLM,91,3241.0,15620.9811,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,TRUMP,89,1781.7,9085.60725,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,WIF,134,1687.0,21667.16184,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,ONDO,259,14767.0,78993.10496,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,CFX,53,6475.0,4033.838701,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,AIXBT,85,4336.0,9203.976164,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,AZTEC,74,150384.0,7055.032838,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,GMX,53,77.75,2499.593916,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,ANIME,96,409310.0,8258.047218,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,APT,146,4329.46,31140.621056,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,XRP,96,-744.0,34264.8912,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,STRK,89,48706.9,10093.475789,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,CAKE,105,4942.2,9109.53382,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,GAS,74,-61.1,1813.20328,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,kSHIB,108,554207.0,13831.213107,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,BIO,87,-70320.0,5849.20724,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,SNX,80,7314.4,5079.289056,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,TIA,111,-4958.5,22885.765963,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,ZEN,58,396.24,8961.03648,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,MEGA,150,-64689.0,21821.423666,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,MERL,51,-57013.0,4731.326302,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,PNUT,81,65904.3,17152.992285,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,LDO,72,531.1,9619.039219,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,CRV,109,-7339.4,21060.187362,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,ASTER,167,918.0,30322.83259,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,JUP,120,-3817.0,24285.304,True
0x010461c14e146ac35fe42271bdc1134ee31c703a,MORPHO,291,-1775.2,53828.253,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,NXPC,58,2773.0,3033.99408,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,BOME,26,-3245590.0,2519.466452,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,BRETT,74,233038.0,5515.333853,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,CHILLGUY,36,-85418.0,2054.662206,False
0x010461c14e146ac35fe42271bdc1134ee31c703a,COMP,146,27.33,9042.8108,False
