client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20240601-124500-BACKTEST-000-1,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-001,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-f46362bcc80a8780-575,MARKET,BUY,0.04424517,GTC,False,False,0.04424517,TAKER,67804.0,0.0,['12.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f229a819-a68a-460d-ae81-07c68444c459,2024-06-01 12:45:00+00:00,2024-06-01 12:45:00+00:00
O-20240601-125500-BACKTEST-000-2,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-002,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-fe3b0e6b9c884936-583,MARKET,SELL,0.04424517,GTC,False,False,0.04424517,TAKER,67717.76,0.0,['11.98 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,0ed9718d-1986-4cd2-a7d3-01bf1f406d4b,2024-06-01 12:55:00+00:00,2024-06-01 12:55:00+00:00
O-20240602-142500-BACKTEST-000-3,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-003,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-60368aef8dc421fb-1728,MARKET,BUY,0.04377248,GTC,False,False,0.04377248,TAKER,68345.67,0.0,['11.97 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,389adacf-d094-4716-b00d-efba260425fc,2024-06-02 14:25:00+00:00,2024-06-02 14:25:00+00:00
O-20240602-144500-BACKTEST-000-4,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-004,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-818d692a3634e021-1741,MARKET,SELL,0.04377248,GTC,False,False,0.04377248,TAKER,68123.01000000001,0.0,['11.93 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b50bfc48-28f3-4187-9a32-231e481d870a,2024-06-02 14:45:00+00:00,2024-06-02 14:45:00+00:00
O-20240602-223000-BACKTEST-000-5,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-005,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-2eb7ab7fdbb0069a-2100,MARKET,BUY,0.04386524,GTC,False,False,0.04386524,TAKER,67971.01000000001,0.0,['11.93 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e2318183-3d4b-4826-9dc9-ad7285556797,2024-06-02 22:30:00+00:00,2024-06-02 22:30:00+00:00
O-20240602-233000-BACKTEST-000-6,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-006,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-831163edbfc47ebc-2144,MARKET,SELL,0.04386524,GTC,False,False,0.04386524,TAKER,67862.69,0.0,['11.91 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5dfe3e25-b09c-4e29-b7c1-9663b26e56d9,2024-06-02 23:30:00+00:00,2024-06-02 23:30:00+00:00
O-20240603-015000-BACKTEST-000-7,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-007,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-5c6b21dc4ad2bf51-2254,MARKET,BUY,0.04341903,GTC,False,False,0.04341903,TAKER,68471.99,0.0,['11.89 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,61e7897b-34d1-42cb-943f-89b5f5a7cc0f,2024-06-03 01:50:00+00:00,2024-06-03 01:50:00+00:00
O-20240603-143500-BACKTEST-000-8,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-008,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-5c34679953ccf1c5-2855,MARKET,SELL,0.04341903,GTC,False,False,0.04341903,TAKER,69180.01999999999,0.0,['12.01 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,27a364ea-a9aa-4f55-92f6-fac12515e0df,2024-06-03 14:35:00+00:00,2024-06-03 14:35:00+00:00
O-20240604-021000-BACKTEST-000-9,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-009,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-08e33d0959e8c938-3393,MARKET,BUY,0.04295045,GTC,False,False,0.04295045,TAKER,69266.79000000001,0.0,['11.90 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,abb3b4cc-0152-4f3d-8af7-177120d5eb42,2024-06-04 02:10:00+00:00,2024-06-04 02:10:00+00:00
O-20240604-024500-BACKTEST-000-10,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-010,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-bbb2839fe91424c2-3419,MARKET,SELL,0.04295045,GTC,False,False,0.04295045,TAKER,69100.0,0.0,['11.87 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,4da81888-f296-4777-a695-2bb6e625e092,2024-06-04 02:45:00+00:00,2024-06-04 02:45:00+00:00
