position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-05401b3e-4f7a-45c3-a24a-1be441cadb8d,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240823-003500-BACKTEST-000-291,O-20240823-005000-BACKTEST-000-292,BUY,FLAT,0.00000000,0.03444465,1724373300000000000,2024-08-23 00:35:00+00:00,1724374200000000000,2024-08-23 00:50:00+00:00,900000000000,60903.619999999995,60728.630000000005,['16.76 USD'],-0.00287,-22.79 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-09bd5fb8-743a-430d-8149-fca0d37e83b5,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240823-052000-BACKTEST-000-293,O-20240823-053500-BACKTEST-000-294,BUY,FLAT,0.00000000,0.03428044,1724390400000000000,2024-08-23 05:20:00+00:00,1724391300000000000,2024-08-23 05:35:00+00:00,900000000000,60996.0,60843.06999999999,['16.70 USD'],-0.00251,-21.94 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-f760f246-52d7-453b-bcd6-4b899686d145,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240823-064500-BACKTEST-000-295,O-20240823-074500-BACKTEST-000-296,BUY,FLAT,0.00000000,0.03406642,1724395500000000000,2024-08-23 06:45:00+00:00,1724399100000000000,2024-08-23 07:45:00+00:00,3600000000000,61186.0,61024.49,['16.66 USD'],-0.00264,-22.16 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-095aec32-0b1e-4f3a-91ee-61ae18e629c8,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240823-140000-BACKTEST-000-297,O-20240823-144500-BACKTEST-000-298,BUY,FLAT,0.00000000,0.03372181,1724421600000000000,2024-08-23 14:00:00+00:00,1724424300000000000,2024-08-23 14:45:00+00:00,2700000000000,61614.119999999995,60809.01,['16.51 USD'],-0.01307,-43.66 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-161ed247-bdf6-4886-aada-695d7ce86db6,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240823-174500-BACKTEST-000-299,O-20240824-112500-BACKTEST-000-300,BUY,FLAT,0.00000000,0.03287757,1724435100000000000,2024-08-23 17:45:00+00:00,1724498700000000000,2024-08-24 11:25:00+00:00,63600000000000,62797.880000000005,64090.81,['16.69 USD'],0.02059,25.82 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-79c09e7a-10b8-48be-b16b-4b3ea8119a6e,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240825-143500-BACKTEST-000-301,O-20240825-153000-BACKTEST-000-302,BUY,FLAT,0.00000000,0.03225617,1724596500000000000,2024-08-25 14:35:00+00:00,1724599800000000000,2024-08-25 15:30:00+00:00,3300000000000,64247.80000000001,64094.009999999995,['16.56 USD'],-0.00239,-21.52 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-12938744-dce7-448a-9e75-28477e8feb85,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240825-210500-BACKTEST-000-303,O-20240825-234500-BACKTEST-000-304,BUY,FLAT,0.00000000,0.03210760,1724619900000000000,2024-08-25 21:05:00+00:00,1724629500000000000,2024-08-25 23:45:00+00:00,9600000000000,64344.0,64249.990000000005,['16.51 USD'],-0.00146,-19.53 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-7d33c724-371d-4db9-996f-24ae609d6962,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240829-051500-BACKTEST-000-305,O-20240829-164500-BACKTEST-000-306,BUY,FLAT,0.00000000,0.03471935,1724908500000000000,2024-08-29 05:15:00+00:00,1724949900000000000,2024-08-29 16:45:00+00:00,41400000000000,59335.00000000001,60258.009999999995,['16.61 USD'],0.01556,15.44 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-c62b04e6-a1a8-455a-8c68-35afef4b03dd,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240830-072500-BACKTEST-000-307,O-20240830-075000-BACKTEST-000-308,BUY,FLAT,0.00000000,0.03466189,1725002700000000000,2024-08-30 07:25:00+00:00,1725004200000000000,2024-08-30 07:50:00+00:00,1500000000000,59566.99,59276.0,['16.48 USD'],-0.00489,-26.57 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-0d116a9e-f1c3-4dd7-9ad2-4a026e02aa7e,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240830-095000-BACKTEST-000-309,O-20240830-103500-BACKTEST-000-310,BUY,FLAT,0.00000000,0.03447142,1725011400000000000,2024-08-30 09:50:00+00:00,1725014100000000000,2024-08-30 10:35:00+00:00,2700000000000,59664.99,59470.0,['16.43 USD'],-0.00327,-23.15 USD,True
