trade_num,side,entry_price,exit_price,realized_pnl,commissions
1,FLAT,87945.62,87836.01999999999,-27.73 USD,['23.99 USD']
2,FLAT,87989.62,87898.09,-27.03 USD,['23.92 USD']
3,FLAT,88200.42,88471.89,-14.72 USD,['23.90 USD']
4,FLAT,89123.01000000001,89133.35,-23.49 USD,['23.84 USD']
5,FLAT,90741.29,90133.72,-43.60 USD,['23.70 USD']
6,FLAT,90193.27,90058.71,-28.07 USD,['23.66 USD']
7,FLAT,90220.0,91245.99,9.81 USD,['23.74 USD']
8,FLAT,91529.73000000001,92359.99,3.06 USD,['23.73 USD']
9,FLAT,92915.65000000001,92712.0,-30.09 USD,['23.61 USD']
10,FLAT,93283.28,93874.03,-4.99 USD,['23.64 USD']
11,FLAT,93888.87,93729.88,-28.53 USD,['23.54 USD']
12,FLAT,90781.57,90712.66,-25.70 USD,['23.47 USD']
13,FLAT,91498.0,91147.27,-34.60 USD,['23.38 USD']
14,FLAT,90734.20000000001,90652.42,-25.96 USD,['23.33 USD']
15,FLAT,90731.94,90650.01,-25.90 USD,['23.27 USD']
16,FLAT,90746.81,90665.76,-25.80 USD,['23.21 USD']
17,FLAT,90660.8,90583.06,-25.63 USD,['23.15 USD']
18,FLAT,90721.58,90656.90999999999,-25.15 USD,['23.09 USD']
19,FLAT,90758.08,90695.62,-25.01 USD,['23.03 USD']
20,FLAT,90844.09999999999,90844.2,-22.98 USD,['22.98 USD']
21,FLAT,91191.7,91668.09999999999,-8.02 USD,['22.98 USD']
22,FLAT,91506.25,91127.17,-34.71 USD,['22.85 USD']
23,FLAT,91747.94,91968.43,-15.99 USD,['22.84 USD']
24,FLAT,92720.44,92258.31,-36.91 USD,['22.72 USD']
25,FLAT,93449.99,95028.0,25.01 USD,['22.87 USD']
26,FLAT,95294.59,96971.94,27.10 USD,['22.94 USD']
27,FLAT,96974.98,96748.26999999999,-29.46 USD,['22.79 USD']
28,FLAT,95362.25,95292.32,-24.81 USD,['22.73 USD']
29,FLAT,95382.09,95322.56999999999,-24.44 USD,['22.67 USD']
30,FLAT,95278.8,95089.45,-28.22 USD,['22.60 USD']
31,FLAT,95439.37999999999,95303.3,-26.56 USD,['22.54 USD']
32,FLAT,95521.74,95450.0,-24.60 USD,['22.49 USD']
33,FLAT,93248.66,93064.41,-27.95 USD,['22.41 USD']
34,FLAT,89703.01000000001,89432.84,-30.75 USD,['22.33 USD']
35,FLAT,90142.64,89457.79999999999,-43.38 USD,['22.21 USD']
36,FLAT,90197.15999999999,89975.0,-28.99 USD,['22.16 USD']
37,FLAT,89693.15999999999,89643.52,-23.64 USD,['22.11 USD']
38,FLAT,89604.47,89145.6,-36.12 USD,['22.00 USD']
39,FLAT,90197.95,89845.83,-32.65 USD,['21.93 USD']
40,FLAT,89873.31999999999,89750.0,-25.64 USD,['21.88 USD']
41,FLAT,88890.55,88702.81,-27.57 USD,['21.81 USD']
42,FLAT,87816.76000000001,87501.62999999999,-31.48 USD,['21.72 USD']
43,FLAT,88118.01,87825.93,-30.65 USD,['21.66 USD']
44,FLAT,88116.81999999999,87476.6,-41.17 USD,['21.54 USD']
45,FLAT,88550.01,88272.77,-29.91 USD,['21.49 USD']
46,FLAT,88767.99,88544.49,-28.17 USD,['21.42 USD']
47,FLAT,88739.13,88171.6,-38.40 USD,['21.31 USD']
48,FLAT,88878.04000000001,89014.11,-17.23 USD,['21.30 USD']
49,FLAT,89567.25,89606.48,-20.09 USD,['21.25 USD']
50,FLAT,83463.0,82620.28000000001,-47.84 USD,['21.09 USD']
51,FLAT,83931.13,83868.48,-21.35 USD,['19.53 USD']
52,FLAT,79034.45000000001,78520.44,-38.07 USD,['20.97 USD']
53,FLAT,77187.1,78329.03,14.95 USD,['17.87 USD']
54,FLAT,78913.75,78534.0,-33.55 USD,['20.93 USD']
55,FLAT,79065.24,78745.2,-31.43 USD,['20.86 USD']
56,FLAT,76837.99,76480.0,-32.90 USD,['20.77 USD']
57,FLAT,66826.49,66176.69,-45.45 USD,['20.46 USD']
58,FLAT,66524.88,70007.76,113.85 USD,['21.18 USD']
59,FLAT,71097.79,70271.97,-51.13 USD,['20.78 USD']
60,FLAT,69584.85,70784.36,23.82 USD,['20.96 USD']
61,FLAT,71477.44,71059.53,-36.01 USD,['20.78 USD']
62,FLAT,71916.68,71366.0,-40.54 USD,['20.68 USD']
63,FLAT,70548.79000000001,70001.64,-40.61 USD,['20.58 USD']
64,FLAT,69679.8,68903.74,-35.95 USD,['14.98 USD']
65,FLAT,69278.79000000001,68996.90999999999,-30.84 USD,['20.43 USD']
66,FLAT,68011.68,67253.0,-48.73 USD,['20.29 USD']
67,FLAT,67795.22,67213.3,-41.95 USD,['20.19 USD']
68,FLAT,67961.92,67545.19,-35.59 USD,['20.12 USD']
69,FLAT,67730.26999999999,67625.01000000001,-23.98 USD,['20.08 USD']
70,FLAT,66555.19,66365.87,-27.13 USD,['20.01 USD']
71,FLAT,66774.0,68860.0,57.70 USD,['20.29 USD']
72,FLAT,69181.6,69455.02,-10.22 USD,['20.16 USD']
73,FLAT,69996.26,69749.69,-28.89 USD,['20.05 USD']
74,FLAT,70791.8,70278.13,-38.11 USD,['19.95 USD']
75,FLAT,68957.04,68778.09999999999,-26.36 USD,['19.90 USD']
76,FLAT,69505.01000000001,68611.0,-51.67 USD,['19.73 USD']
77,FLAT,68862.88,68601.0,-29.08 USD,['19.70 USD']
78,FLAT,68978.65,68744.98999999999,-27.96 USD,['19.63 USD']
79,FLAT,69124.73999999999,68653.54,-36.23 USD,['19.53 USD']
80,FLAT,67735.99,67899.98000000001,-13.63 USD,['19.54 USD']
81,FLAT,66866.62000000001,66744.13,-23.92 USD,['19.46 USD']
82,FLAT,67126.11,66914.43,-27.05 USD,['19.39 USD']
83,FLAT,67091.20999999999,66771.71999999999,-30.83 USD,['19.31 USD']
84,FLAT,67191.71999999999,67708.72,-0.81 USD,['19.36 USD']
85,FLAT,67941.03,68010.36,-16.83 USD,['19.29 USD']
86,FLAT,68499.99,68262.34999999999,-27.55 USD,['19.21 USD']
87,FLAT,68186.36,68031.99,-24.59 USD,['19.16 USD']
88,FLAT,67743.4,67580.47,-24.85 USD,['19.10 USD']
