timestamp,open,high,low,close,vwap,volume,count
2024-05-22 00:00:00,514.78,515.45,494.84,498.64,504.5,2265.62359441,2522
2024-05-23 00:00:00,498.76,516.3,472.72,490.75,496.96,2850.34016408,2846
2024-05-24 00:00:00,490.43,500.24,480.36,494.86,488.74,4696.0248372,2607
2024-05-25 00:00:00,495.04,501.94,491.02,493.35,496.7,738.75121425,1022
2024-05-26 00:00:00,493.21,493.46,481.0,483.6,486.44,1369.92353644,1083
2024-05-27 00:00:00,484.05,502.74,481.47,489.17,492.4,1360.52618256,1442
2024-05-28 00:00:00,489.16,489.16,460.76,470.8,470.1,2722.17702194,2177
2024-05-29 00:00:00,470.41,474.48,462.84,465.07,466.8,2258.32476324,1265
2024-05-30 00:00:00,465.26,475.0,459.42,465.17,466.97,830.93357272,818
2024-05-31 00:00:00,464.07,469.17,447.6,454.91,460.52,1351.87043188,1187
2024-06-01 00:00:00,454.69,465.48,453.9,463.14,459.78,408.81291485,874
2024-06-02 00:00:00,463.33,464.64,453.01,458.57,460.32,524.75521729,750
2024-06-03 00:00:00,457.9,471.36,455.29,464.56,466.01,879.29724716,682
2024-06-04 00:00:00,464.97,479.36,459.81,477.13,469.45,4627.71457474,2072
2024-06-05 00:00:00,477.5,497.81,477.03,495.61,486.97,1708.21343335,1958
2024-06-06 00:00:00,495.39,502.58,486.5,495.48,495.02,1826.34262767,2109
2024-06-07 00:00:00,495.49,520.17,460.64,477.9,492.75,5057.02933108,4764
2024-06-08 00:00:00,476.81,484.43,465.63,469.78,473.03,1094.36422889,1595
2024-06-09 00:00:00,469.67,475.57,465.07,474.4,471.21,424.6310552,976
2024-06-10 00:00:00,474.22,474.45,461.64,468.79,469.22,651.83494881,992
2024-06-11 00:00:00,468.86,469.01,434.22,447.79,451.49,1232.72461652,2232
2024-06-12 00:00:00,445.83,466.19,439.24,453.85,453.97,1814.68234468,2191
2024-06-13 00:00:00,454.0,455.77,430.1,431.45,441.34,3234.62636985,2135
2024-06-14 00:00:00,431.46,440.43,406.77,422.91,422.69,1906.50007902,2183
2024-06-15 00:00:00,422.91,432.2,422.11,429.54,427.27,491.80166211,900
2024-06-16 00:00:00,429.57,433.33,426.39,427.96,429.88,476.28319766,827
2024-06-17 00:00:00,427.48,428.8,404.1,420.14,418.62,1775.18536292,1794
2024-06-18 00:00:00,419.68,420.66,372.37,389.42,387.38,5035.68280368,3532
2024-06-19 00:00:00,388.36,398.11,385.53,388.83,392.58,1202.92712933,1209
2024-06-20 00:00:00,388.82,399.92,385.53,390.2,393.8,1199.80951571,1256
2024-06-21 00:00:00,389.76,397.15,376.8,382.99,390.71,4482.44669288,1825
2024-06-22 00:00:00,382.68,399.5,380.17,392.11,390.42,1799.04324298,1396
2024-06-23 00:00:00,392.37,396.21,378.83,380.83,389.49,928.35336756,1054
2024-06-24 00:00:00,380.83,383.62,344.16,363.73,358.06,5063.75163152,3911
2024-06-25 00:00:00,363.65,394.0,363.65,388.01,381.07,3382.99015376,2897
2024-06-26 00:00:00,388.57,396.82,373.43,373.67,382.1,1278.75652588,1648
2024-06-27 00:00:00,373.21,392.81,369.75,388.74,383.69,1631.74354201,2131
2024-06-28 00:00:00,389.32,406.45,383.36,385.27,393.23,3549.92150062,2645
2024-06-29 00:00:00,385.0,388.85,378.92,380.4,383.8,330.23899319,974
2024-06-30 00:00:00,380.37,396.31,378.4,393.63,387.21,570.00160157,1367
2024-07-01 00:00:00,392.52,397.8,382.29,383.83,388.86,2511.33010832,1820
2024-07-02 00:00:00,383.48,393.56,378.0,382.34,384.85,1345.99704861,1510
2024-07-03 00:00:00,380.97,381.86,368.18,372.84,374.21,677.1563701,1509
2024-07-04 00:00:00,372.84,374.11,330.64,331.8,347.17,2642.62665109,3132
2024-07-05 00:00:00,331.31,331.47,288.29,325.78,307.03,6958.4863045,6421
2024-07-06 00:00:00,325.28,344.03,320.03,342.94,334.47,2275.64765129,1703
2024-07-07 00:00:00,343.01,343.01,311.32,311.32,326.42,3667.37735447,2213
2024-07-08 00:00:00,312.84,337.61,299.09,333.32,321.23,1645.13913106,1657
2024-07-09 00:00:00,332.89,340.34,328.63,330.83,333.57,1597.34742982,972
2024-07-10 00:00:00,331.1,346.39,327.31,341.23,338.58,1316.97025793,897
2024-07-11 00:00:00,340.14,368.91,335.81,346.56,352.0,4382.89522867,2109
2024-07-12 00:00:00,347.0,370.47,340.97,368.69,359.34,1558.95124914,910
2024-07-13 00:00:00,368.94,379.89,368.94,375.92,375.45,1143.80850326,892
2024-07-14 00:00:00,375.86,387.7,364.02,377.21,376.84,4032.83081465,2416
2024-07-15 00:00:00,376.33,400.98,375.75,400.3,390.25,2532.48897116,2105
2024-07-16 00:00:00,400.24,405.07,369.65,387.43,386.97,4379.1998241,3179
2024-07-17 00:00:00,387.24,398.81,371.69,375.32,385.07,3073.18354155,2128
2024-07-18 00:00:00,375.83,386.26,369.76,382.58,380.27,1689.20350926,1171
2024-07-19 00:00:00,382.37,400.01,369.98,391.77,383.86,2778.80708809,1610
2024-07-20 00:00:00,392.31,398.79,386.21,395.82,392.07,603.44918015,748
2024-07-21 00:00:00,394.9,401.36,378.99,401.0,393.21,882.46518284,924
2024-07-22 00:00:00,401.38,404.44,383.61,386.69,394.28,1057.90769607,1027
2024-07-23 00:00:00,386.33,392.37,360.84,366.35,370.56,9092.2388664,4349
2024-07-24 00:00:00,366.35,374.34,359.8,362.3,368.46,3252.0361792,1878
2024-07-25 00:00:00,362.79,365.03,346.92,361.51,353.86,1744.6682418,1587
2024-07-26 00:00:00,361.45,378.82,361.12,377.45,372.38,1696.1665864,1301
2024-07-27 00:00:00,377.22,397.77,377.03,391.83,390.09,2786.93848525,1647
2024-07-28 00:00:00,392.4,423.6,389.21,416.96,406.54,5941.53717581,4309
2024-07-29 00:00:00,416.64,458.52,413.86,439.36,442.89,8069.44533289,5770
2024-07-30 00:00:00,438.94,446.92,427.99,432.36,436.57,1818.31395697,1780
2024-07-31 00:00:00,432.79,440.79,411.26,414.63,427.24,1616.41383272,1580
2024-08-01 00:00:00,414.5,423.08,389.52,413.05,404.81,2977.67538557,1890
2024-08-02 00:00:00,414.0,417.13,378.93,381.77,394.73,2434.87215335,2004
2024-08-03 00:00:00,380.51,385.32,354.88,364.66,371.45,2260.72664315,2477
2024-08-04 00:00:00,364.17,366.95,331.09,332.15,346.32,4150.07658043,2967
2024-08-05 00:00:00,332.12,334.96,274.11,309.74,302.35,11685.60947769,9202
2024-08-06 00:00:00,309.47,330.24,307.68,314.7,319.36,4946.42557559,2634
2024-08-07 00:00:00,314.63,327.78,309.22,312.99,318.5,1445.06275666,1924
2024-08-08 00:00:00,313.98,372.47,308.38,352.52,345.75,3852.02801845,3105
2024-08-09 00:00:00,353.28,357.36,336.45,348.21,347.86,1979.55321756,1935
2024-08-10 00:00:00,347.75,359.16,345.82,354.59,353.86,1040.71680276,1243
2024-08-11 00:00:00,354.62,358.46,327.69,330.36,344.08,2053.60075646,1218
2024-08-12 00:00:00,331.59,360.24,329.77,355.17,349.24,1754.34601229,1653
2024-08-13 00:00:00,354.47,365.25,343.99,352.23,354.12,2444.84358373,1742
2024-08-14 00:00:00,351.59,352.48,335.12,337.96,342.55,1649.99075363,1106
