timestamp,open,high,low,close,vwap,volume,count
2024-05-22 00:00:00,88.27,88.46,84.93,85.71,86.26,32746.52667307,5116
2024-05-23 00:00:00,85.72,87.87,80.75,85.45,85.24,27560.41085626,5490
2024-05-24 00:00:00,85.33,86.43,84.0,85.0,85.17,14366.71856833,4544
2024-05-25 00:00:00,85.0,85.88,84.52,84.98,85.03,8808.50804542,2833
2024-05-26 00:00:00,84.95,85.25,83.57,83.87,84.54,8794.78267409,2612
2024-05-27 00:00:00,83.84,86.36,83.78,85.18,85.21,11684.24907026,3100
2024-05-28 00:00:00,85.12,85.4,82.01,83.37,83.3,15445.21575575,4683
2024-05-29 00:00:00,83.37,84.1,82.59,83.48,83.52,12761.91887974,3357
2024-05-30 00:00:00,83.49,85.48,81.9,84.39,84.15,39218.98055938,5503
2024-05-31 00:00:00,84.42,84.6,82.01,83.11,83.47,14369.02821249,4431
2024-06-01 00:00:00,83.13,83.63,82.85,83.41,83.31,8942.01437931,3484
2024-06-02 00:00:00,83.43,83.44,82.16,83.08,83.02,10823.90764123,3378
2024-06-03 00:00:00,83.08,84.16,82.62,82.77,83.48,14000.46741835,3739
2024-06-04 00:00:00,82.76,83.7,81.18,83.67,82.77,16090.2277758,3786
2024-06-05 00:00:00,83.71,85.38,83.54,85.38,84.38,15915.85701411,3726
2024-06-06 00:00:00,85.38,85.73,84.14,84.16,85.04,18211.57194077,4069
2024-06-07 00:00:00,84.17,84.8,75.2,80.1,80.27,37534.02334005,7190
2024-06-08 00:00:00,80.1,80.43,78.88,79.95,79.72,19099.77043425,4416
2024-06-09 00:00:00,79.96,80.7,79.51,80.48,80.19,7749.95507684,3560
2024-06-10 00:00:00,80.48,80.48,79.03,79.6,79.72,20115.20492332,3944
2024-06-11 00:00:00,79.63,79.69,75.61,77.27,77.89,46283.9113092,6261
2024-06-12 00:00:00,77.27,79.23,76.39,78.45,78.04,19288.09587956,5455
2024-06-13 00:00:00,78.45,79.78,77.31,79.13,78.73,11257.06877041,4616
2024-06-14 00:00:00,79.13,80.17,76.38,77.58,77.74,39128.98396368,5917
2024-06-15 00:00:00,77.58,79.37,77.4,79.18,78.61,6679.95737952,3338
2024-06-16 00:00:00,79.2,80.03,78.56,78.9,79.23,7784.36532374,2523
2024-06-17 00:00:00,78.9,79.16,75.11,76.65,77.12,24815.52757584,4503
2024-06-18 00:00:00,76.64,76.74,70.68,72.62,72.64,51695.75710328,6441
2024-06-19 00:00:00,72.63,74.92,72.47,73.73,73.93,14892.71042002,3748
2024-06-20 00:00:00,73.75,75.33,73.23,74.67,74.48,28301.98195774,3994
2024-06-21 00:00:00,74.68,74.69,72.18,74.13,73.32,19284.57208569,4469
2024-06-22 00:00:00,74.14,74.85,73.55,74.53,74.31,9640.71358603,2616
2024-06-23 00:00:00,74.59,74.95,73.26,73.3,74.3,12473.42019427,2554
2024-06-24 00:00:00,73.31,73.35,67.62,69.64,69.89,41264.34592846,5339
2024-06-25 00:00:00,69.61,71.92,69.39,71.32,70.86,12307.17361429,3179
2024-06-26 00:00:00,71.37,71.91,70.46,70.95,71.12,11646.37791539,3447
2024-06-27 00:00:00,71.0,73.23,70.52,73.12,71.9,12151.0269913,3948
2024-06-28 00:00:00,73.16,74.63,72.5,72.73,73.52,28329.37330261,5785
2024-06-29 00:00:00,72.74,76.7,72.74,74.85,75.17,19493.70678372,4549
2024-06-30 00:00:00,74.85,75.86,74.04,75.19,74.77,12108.55589468,3589
2024-07-01 00:00:00,75.18,75.82,74.13,74.32,74.79,17139.16574608,3896
2024-07-02 00:00:00,74.32,76.06,74.22,75.85,74.99,21958.83139833,4044
2024-07-03 00:00:00,75.86,76.15,71.71,72.08,73.87,21913.17887051,5519
2024-07-04 00:00:00,72.08,72.29,65.03,65.29,68.76,30474.24311316,5789
2024-07-05 00:00:00,65.36,65.49,56.88,61.84,59.99,72062.30589538,9923
2024-07-06 00:00:00,61.75,65.63,61.42,65.42,63.77,20193.20980113,3592
2024-07-07 00:00:00,65.38,65.51,61.68,62.04,63.93,11627.16286849,3754
2024-07-08 00:00:00,62.06,66.95,59.27,64.89,64.22,38263.26267941,6910
2024-07-09 00:00:00,64.75,66.31,64.3,65.34,65.57,12242.81301542,3897
2024-07-10 00:00:00,65.34,67.21,64.55,66.96,66.12,11434.01257172,4542
2024-07-11 00:00:00,66.98,69.08,66.44,67.35,68.16,18076.47647231,4826
