pair_key,signals,long_executable,diagnostic_only,has_overlap,overlap_duration_ms,source_range_bps,target_range_bps,valid_returns,candidate,data_issue
binance:ETH/USD->coinbase:SOL/USD,0,0,0,False,0.0,0.0,14.716703458425373,0,False,source_subscription_failed,source_zero_ticks,no_true_overlap
binance:ETH/USD->coinbase:LINK/USD,0,0,0,False,0.0,0.0,30.455886551822623,0,False,source_subscription_failed,source_zero_ticks,no_true_overlap
binance:ETH/USD->coinbase:DOGE/USD,0,0,0,False,0.0,0.0,41.12650871703068,0,False,source_subscription_failed,source_zero_ticks,no_true_overlap
coinbase:BTC/USDT->kraken:SOL/USD,102,20,82,True,581634.694912,5.947865440962746,15.769554247265713,714,False,
coinbase:BTC/USDT->kraken:LINK/USD,102,20,82,True,581634.694912,5.947865440962746,26.79298870792132,714,False,
coinbase:BTC/USDT->kraken:DOGE/USD,0,0,0,False,0.0,5.947865440962746,0.0,0,False,target_subscription_failed,target_zero_ticks,no_true_overlap
coinbase:BTC/USDT->coinbase:SOL/USD,102,20,82,True,581634.694912,5.947865440962746,14.716703458425373,714,False,
coinbase:BTC/USDT->coinbase:LINK/USD,102,20,82,True,581634.694912,5.947865440962746,30.455886551822623,714,False,
coinbase:BTC/USDT->coinbase:DOGE/USD,102,20,82,True,581634.694912,5.947865440962746,41.12650871703068,714,False,
coinbase:ETH/USDT->kraken:SOL/USD,10,0,10,True,550845.396992,11.293839644851786,15.769554247265713,70,False,
coinbase:ETH/USDT->kraken:LINK/USD,10,0,10,True,496419.606016,11.293839644851786,26.79298870792132,70,False,
coinbase:ETH/USDT->kraken:DOGE/USD,0,0,0,False,0.0,11.293839644851786,0.0,0,False,target_subscription_failed,target_zero_ticks,no_true_overlap
coinbase:ETH/USDT->coinbase:SOL/USD,10,0,10,True,550845.396992,11.293839644851786,14.716703458425373,70,False,
coinbase:ETH/USDT->coinbase:LINK/USD,10,0,10,True,550845.396992,11.293839644851786,30.455886551822623,70,False,
coinbase:ETH/USDT->coinbase:DOGE/USD,10,0,10,True,550845.396992,11.293839644851786,41.12650871703068,70,False,
coinbase:BTC/USD->kraken:SOL/USD,454,188,266,True,873933.795072,13.957509881422924,15.769554247265713,3178,False,
coinbase:BTC/USD->kraken:LINK/USD,454,188,266,True,810886.0032,13.957509881422924,26.79298870792132,3178,False,
coinbase:BTC/USD->kraken:DOGE/USD,0,0,0,False,0.0,13.957509881422924,0.0,0,False,target_subscription_failed,target_zero_ticks,no_true_overlap
coinbase:BTC/USD->coinbase:SOL/USD,454,188,266,True,887885.298944,13.957509881422924,14.716703458425373,3178,False,
coinbase:BTC/USD->coinbase:LINK/USD,454,188,266,True,879890.313728,13.957509881422924,30.455886551822623,3178,False,
coinbase:BTC/USD->coinbase:DOGE/USD,454,188,266,True,888412.719104,13.957509881422924,41.12650871703068,3178,False,
coinbase:ETH/USD->kraken:SOL/USD,415,210,205,True,873933.795072,16.99519700954015,15.769554247265713,2905,False,
coinbase:ETH/USD->kraken:LINK/USD,415,210,205,True,808323.729152,16.99519700954015,26.79298870792132,2905,False,
coinbase:ETH/USD->kraken:DOGE/USD,0,0,0,False,0.0,16.99519700954015,0.0,0,False,target_subscription_failed,target_zero_ticks,no_true_overlap
coinbase:ETH/USD->coinbase:SOL/USD,415,210,205,True,886116.832,16.99519700954015,14.716703458425373,2905,False,
coinbase:ETH/USD->coinbase:LINK/USD,415,210,205,True,879890.313728,16.99519700954015,30.455886551822623,2905,False,
coinbase:ETH/USD->coinbase:DOGE/USD,415,210,205,True,886690.65216,16.99519700954015,41.12650871703068,2905,False,
kraken:BTC/USDT->kraken:SOL/USD,0,0,0,False,0.0,0.0,15.769554247265713,0,False,source_subscription_failed,source_zero_ticks,no_true_overlap
kraken:BTC/USDT->kraken:LINK/USD,0,0,0,False,0.0,0.0,26.79298870792132,0,False,source_subscription_failed,source_zero_ticks,no_true_overlap
kraken:BTC/USDT->kraken:DOGE/USD,0,0,0,False,0.0,0.0,0.0,0,False,source_subscription_failed,target_subscription_failed,source_zero_ticks,target_zero_ticks,no_true_overlap
kraken:BTC/USDT->coinbase:SOL/USD,0,0,0,False,0.0,0.0,14.716703458425373,0,False,source_subscription_failed,source_zero_ticks,no_true_overlap
kraken:BTC/USDT->coinbase:LINK/USD,0,0,0,False,0.0,0.0,30.455886551822623,0,False,source_subscription_failed,source_zero_ticks,no_true_overlap
kraken:BTC/USDT->coinbase:DOGE/USD,0,0,0,False,0.0,0.0,41.12650871703068,0,False,source_subscription_failed,source_zero_ticks,no_true_overlap
kraken:ETH/USDT->kraken:SOL/USD,29,16,13,True,258672.420096,7.249585427899499,15.769554247265713,203,False,
kraken:ETH/USDT->kraken:LINK/USD,29,16,13,True,258672.420096,7.249585427899499,26.79298870792132,203,False,
kraken:ETH/USDT->kraken:DOGE/USD,0,0,0,False,0.0,7.249585427899499,0.0,0,False,target_subscription_failed,target_zero_ticks,no_true_overlap
kraken:ETH/USDT->coinbase:SOL/USD,29,16,13,True,258672.420096,7.249585427899499,14.716703458425373,203,False,
kraken:ETH/USDT->coinbase:LINK/USD,29,16,13,True,258672.420096,7.249585427899499,30.455886551822623,203,False,
kraken:ETH/USDT->coinbase:DOGE/USD,29,16,13,True,258672.420096,7.249585427899499,41.12650871703068,203,False,
kraken:BTC/USD->kraken:SOL/USD,256,139,117,True,863939.793152,8.91578167448717,15.769554247265713,1792,False,
kraken:BTC/USD->kraken:LINK/USD,256,139,117,True,807770.413056,8.91578167448717,26.79298870792132,1792,False,
kraken:BTC/USD->kraken:DOGE/USD,0,0,0,False,0.0,8.91578167448717,0.0,0,False,target_subscription_failed,target_zero_ticks,no_true_overlap
kraken:BTC/USD->coinbase:SOL/USD,256,139,117,True,873687.86816,8.91578167448717,14.716703458425373,1792,False,
kraken:BTC/USD->coinbase:LINK/USD,256,139,117,True,866350.336,8.91578167448717,30.455886551822623,1792,False,
kraken:BTC/USD->coinbase:DOGE/USD,256,139,117,True,873687.86816,8.91578167448717,41.12650871703068,1792,False,
kraken:ETH/USD->kraken:SOL/USD,131,55,76,True,862905.163008,15.735504427240203,15.769554247265713,917,False,
kraken:ETH/USD->kraken:LINK/USD,131,55,76,True,806933.980928,15.735504427240203,26.79298870792132,917,False,
kraken:ETH/USD->kraken:DOGE/USD,0,0,0,False,0.0,15.735504427240203,0.0,0,False,target_subscription_failed,target_zero_ticks,no_true_overlap
kraken:ETH/USD->coinbase:SOL/USD,131,55,76,True,871816.805888,15.735504427240203,14.716703458425373,917,False,
kraken:ETH/USD->coinbase:LINK/USD,131,55,76,True,865315.705856,15.735504427240203,30.455886551822623,917,False,
kraken:ETH/USD->coinbase:DOGE/USD,131,55,76,True,871816.805888,15.735504427240203,41.12650871703068,917,False,
