horizon_ms,groups,total_valid_events,avg_mean_net_return_bps,median_mean_net_return_bps
1000,8,70,-13.9899,-14.0068
5000,8,70,-13.9899,-14.0068
10000,8,70,-13.9899,-14.0068
30000,8,70,-13.9899,-14.0068
60000,8,70,-13.9899,-14.0068
