timestamp,open,high,low,close,volume
1778569500.0,80907.7,80907.7,80894.4,80898.0,0.16633924
1778569560.0,80898.0,80929.9,80873.1,80929.8,0.34303588
1778569620.0,80929.8,80929.8,80911.7,80913.9,0.02454591
1778569680.0,80914.0,80942.1,80913.9,80942.1,0.03104468
1778569740.0,80959.3,80959.3,80953.2,80953.2,0.08116308
1778569800.0,80953.1,80953.1,80938.6,80946.0,0.04470759
1778569860.0,80945.9,81017.1,80945.9,81017.1,1.74571155
1778569920.0,81020.1,81035.9,81020.0,81035.9,0.1340412
1778569980.0,81051.8,81055.6,81051.7,81055.5,0.00999534
1778570040.0,81055.5,81055.5,81049.5,81050.4,0.00484088
1778570100.0,81050.3,81050.3,80893.8,80945.6,17.65100402
1778570160.0,80945.5,80970.3,80945.5,80970.3,0.06940942
1778570220.0,80970.2,80987.6,80970.2,80976.6,0.04217072
1778570280.0,80976.5,80988.1,80976.5,80985.2,0.25742002
1778570340.0,80985.1,81013.7,80985.1,81013.7,0.21310554
1778570400.0,81014.7,81014.7,81014.6,81014.7,0.00647816
1778570460.0,81014.7,81024.9,81014.7,81022.6,0.0882186
1778570520.0,81022.6,81032.0,81022.5,81032.0,0.00209675
1778570580.0,81032.0,81081.8,81032.0,81078.7,0.10903575
1778570640.0,81078.6,81093.6,81078.6,81093.6,0.00418959
1778570700.0,81093.6,81093.6,81063.5,81063.5,0.03662758
1778570760.0,81063.5,81063.5,81063.4,81063.5,0.02968629
1778570820.0,81063.4,81063.5,81058.0,81058.1,0.01219982
1778570880.0,81058.0,81058.0,81053.2,81053.2,0.00287975
1778570940.0,81034.6,81034.6,81017.2,81017.2,0.0534718
1778571000.0,81003.7,81003.7,81000.0,81000.1,0.14788269
1778571060.0,81000.0,81000.1,81000.0,81000.1,0.01913822
1778571120.0,81000.0,81033.4,81000.0,81033.4,0.20012044
1778571180.0,81033.3,81062.3,81033.3,81062.3,0.01001774
1778571240.0,81062.2,81062.2,81038.7,81038.7,0.19261535
1778571300.0,81038.8,81038.8,81030.5,81030.5,0.21966522
1778571360.0,81030.5,81030.5,80985.1,80985.2,0.45542008
1778571420.0,80985.1,80985.2,80985.1,80985.2,0.02019488
1778571480.0,80985.2,80985.2,80971.7,80971.8,0.10909601
1778571540.0,80971.7,80971.7,80971.0,80971.1,1.70987442
1778571600.0,80971.0,80971.1,80968.5,80968.5,3.90669774
1778571660.0,80968.5,80968.6,80965.5,80965.6,0.11365403
1778571720.0,80965.5,80965.6,80965.5,80965.5,0.03432971
1778571780.0,80965.5,80965.6,80948.3,80948.3,0.84937339
1778571840.0,80948.3,80948.4,80944.9,80944.9,0.0136629
1778571900.0,80944.9,80945.0,80912.5,80912.6,0.64298887
1778571960.0,80912.5,80912.5,80858.7,80858.8,0.45909381
1778572020.0,80858.7,80858.7,80837.1,80844.7,0.38843872
1778572080.0,80844.7,80844.7,80789.1,80828.5,1.66478969
1778572140.0,80828.5,80841.5,80828.5,80841.4,0.99741526
1778572200.0,80841.5,80893.1,80841.4,80893.1,0.14189901
1778572260.0,80893.1,80909.2,80893.1,80909.1,0.25200122
1778572320.0,80909.1,80910.4,80909.1,80910.3,0.00514302
1778572380.0,80910.3,80940.6,80910.3,80928.6,1.11420802
1778572440.0,80928.5,80928.5,80912.0,80928.5,0.10955551
1778572500.0,80928.6,80934.0,80928.5,80928.7,1.16903245
1778572560.0,80928.6,80929.2,80928.6,80929.0,0.13626876
1778572620.0,80929.0,80929.0,80928.9,80929.0,0.10183869
1778572680.0,80928.9,80928.9,80875.6,80875.6,0.55604022
1778572740.0,80867.7,80867.7,80850.0,80850.0,0.20986371
1778572800.0,80850.1,80878.1,80805.2,80878.0,0.56359409
1778572860.0,80878.1,80903.8,80855.9,80855.9,0.13406441
1778572920.0,80856.0,80856.0,80855.9,80855.9,0.01138098
1778572980.0,80855.9,80859.8,80855.8,80855.9,0.00708104
1778573040.0,80855.9,80866.8,80853.0,80853.0,0.07903527
1778573100.0,80852.9,80852.9,80821.5,80842.0,0.03213168
1778573160.0,80842.0,80842.0,80839.1,80839.2,0.03506694
1778573220.0,80839.2,80852.1,80839.2,80852.0,0.0675165
1778573280.0,80852.1,80852.1,80852.0,80852.0,0.00081177
1778573340.0,80852.1,80879.3,80852.1,80876.7,0.03278393
1778573400.0,80876.7,80876.7,80861.5,80861.5,0.19854024
1778573460.0,80861.5,80861.5,80842.7,80842.8,0.60076568
1778573520.0,80842.8,80842.8,80804.2,80804.2,0.20452231
1778573580.0,80804.3,80804.3,80804.2,80804.3,0.00659022
1778573640.0,80804.3,80804.3,80789.0,80789.0,0.21298296
1778573700.0,80789.1,80789.1,80759.8,80759.8,0.22784303
1778573760.0,80759.8,80789.1,80759.8,80789.0,0.21292773
1778573820.0,80789.0,80819.9,80789.0,80817.8,0.0084098
1778573880.0,80817.8,80817.8,80806.7,80812.0,0.00897996
1778573940.0,80812.1,80826.6,80812.0,80826.5,0.01932632
1778574000.0,80826.6,80846.4,80826.5,80846.3,0.0670792
1778574060.0,80846.4,80861.6,80846.4,80851.4,0.29467174
1778574120.0,80851.5,80851.5,80851.4,80851.4,0.08314088
1778574180.0,80851.4,80899.8,80851.4,80898.0,2.18417931
1778574240.0,80898.0,80898.0,80846.6,80846.6,0.03464838
1778574300.0,80847.2,80847.2,80830.1,80830.2,0.01820471
1778574360.0,80830.2,80858.0,80830.1,80857.9,0.11416997
1778574420.0,80858.0,80859.9,80857.9,80859.9,0.01321287
1778574480.0,80859.8,80859.8,80830.0,80846.7,0.00723497
1778574540.0,80846.7,80846.8,80846.7,80846.8,0.31595952
1778574600.0,80846.8,80847.7,80830.0,80830.1,0.00617193
