timestamp,open,high,low,close,volume
1778569380.0,96.03,96.08,96.03,96.05,252.67870422
1778569440.0,96.03,96.04,96.01,96.04,161.05971782
1778569500.0,96.04,96.04,95.97,95.97,1065.03599702
1778569560.0,95.96,95.96,95.85,95.92,120.50063451
1778569620.0,95.91,95.99,95.88,95.94,206.10382384
1778569680.0,95.96,95.99,95.96,95.97,1.09656
1778569740.0,96.02,96.02,95.98,95.99,1084.74801967
1778569800.0,96.01,96.05,96.01,96.05,38.07655004
1778569860.0,96.03,96.15,96.03,96.15,336.55818072
1778569920.0,96.13,96.21,96.13,96.2,49.15731524
1778569980.0,96.21,96.21,96.17,96.18,4.24064757
1778570040.0,96.17,96.22,96.17,96.22,1.81145484
1778570100.0,96.19,96.19,96.05,96.16,73.67321633
1778570160.0,96.16,96.19,96.15,96.19,1.19394426
1778570220.0,96.2,96.2,96.14,96.14,10.79752258
1778570280.0,96.13,96.16,96.09,96.1,8.82458587
1778570340.0,96.09,96.23,96.09,96.23,501.77639053
1778570400.0,96.2,96.21,96.16,96.16,15.06922567
1778570460.0,96.13,96.15,96.13,96.15,0.30378468
1778570520.0,96.14,96.18,96.14,96.18,0.87199213
1778570580.0,96.14,96.18,96.13,96.17,1.44351026
1778570640.0,96.16,96.26,96.16,96.26,23.31245148
1778570700.0,96.26,96.26,96.24,96.26,2.63957724
1778570760.0,96.23,96.23,96.15,96.15,2.14681905
1778570820.0,96.13,96.16,96.13,96.14,4.74820849
1778570880.0,96.12,96.12,96.08,96.09,0.26638354
1778570940.0,96.09,96.09,96.04,96.04,107.01763993
1778571000.0,96.05,96.05,96.0,96.04,3.62837251
1778571060.0,96.05,96.07,96.04,96.06,0.57330522
1778571120.0,96.06,96.1,96.06,96.08,12.64706334
1778571180.0,96.08,96.21,96.08,96.17,11.38125349
1778571240.0,96.16,96.19,96.16,96.19,0.29840033
1778571300.0,96.2,96.2,96.16,96.16,0.94451609
1778571360.0,96.2,96.2,96.16,96.16,97.15193
1778571420.0,96.17,96.2,96.17,96.2,2.45364479
1778571480.0,96.2,96.2,96.14,96.14,8.47934101
1778571540.0,96.15,96.15,96.07,96.09,51.91527173
1778571600.0,96.1,96.11,96.08,96.09,16.69505765
1778571660.0,96.16,96.17,96.1,96.11,33.35492212
1778571720.0,96.12,96.12,96.11,96.11,22.90430658
1778571780.0,96.11,96.11,96.05,96.07,6.47204733
1778571840.0,96.08,96.08,96.04,96.04,0.40877829
1778571900.0,96.05,96.08,95.97,95.97,963.16463454
