trade_num,side,entry_price,exit_price,realized_pnl,commissions
89,FLAT,51531.35,51530.83,-19.97 USD,['19.94 USD']
90,FLAT,51738.380000000005,51680.5,-22.67 USD,['19.89 USD']
91,FLAT,51970.009999999995,51799.96,-27.93 USD,['19.81 USD']
92,FLAT,52200.009999999995,51961.96,-31.00 USD,['19.73 USD']
93,FLAT,52312.39,52110.0,-29.19 USD,['19.66 USD']
94,FLAT,52023.07,51932.79,-23.88 USD,['19.62 USD']
95,FLAT,52046.24,52058.049999999996,-19.02 USD,['19.58 USD']
96,FLAT,52257.72,52084.899999999994,-27.57 USD,['19.50 USD']
97,FLAT,51385.340000000004,51382.22,-19.61 USD,['19.46 USD']
98,FLAT,51708.009999999995,51683.85999999999,-20.54 USD,['19.41 USD']
99,FLAT,51915.19,51661.11,-31.17 USD,['19.32 USD']
100,FLAT,50992.56,51456.729999999996,2.57 USD,['19.38 USD']
101,FLAT,51684.009999999995,51501.09,-27.81 USD,['19.27 USD']
102,FLAT,51719.990000000005,51600.0,-24.79 USD,['19.21 USD']
103,FLAT,51826.049999999996,51687.990000000005,-25.53 USD,['19.15 USD']
104,FLAT,51470.15,56314.64,204.84 USD,['20.02 USD']
105,FLAT,57505.16,57094.03,-37.05 USD,['19.53 USD']
106,FLAT,57129.990000000005,60190.009999999995,110.62 USD,['20.04 USD']
107,FLAT,61504.579999999994,61091.100000000006,-36.33 USD,['19.71 USD']
108,FLAT,62440.93000000001,62053.43,-34.92 USD,['19.64 USD']
109,FLAT,62879.70999999999,62414.22,-37.68 USD,['19.53 USD']
110,FLAT,63168.8,62830.850000000006,-32.52 USD,['19.47 USD']
111,FLAT,63403.21,62778.54,-43.28 USD,['19.34 USD']
112,FLAT,61740.0,61520.0,-27.91 USD,['19.30 USD']
113,FLAT,61809.95,61980.0,-12.66 USD,['19.29 USD']
114,FLAT,62498.87,62262.57,-28.29 USD,['19.20 USD']
115,FLAT,62024.29000000001,61821.11,-26.99 USD,['19.14 USD']
116,FLAT,62061.6,61952.89,-23.27 USD,['19.09 USD']
117,FLAT,62242.0,62404.920000000006,-12.85 USD,['19.08 USD']
118,FLAT,63862.439999999995,67642.45000000001,121.14 USD,['19.58 USD']
119,FLAT,67325.03,67170.01,-24.85 USD,['19.29 USD']
