client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20240411-093500-BACKTEST-000-382,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-382,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-5d6dcee096a0b14f-114216,MARKET,SELL,0.02909475,GTC,False,False,0.02909475,TAKER,70683.20999999999,0.0,['8.23 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,3ab2614a-4eb6-4c87-8b03-9b40c8d4b9ff,2024-04-11 09:35:00+00:00,2024-04-11 09:35:00+00:00
O-20240411-201000-BACKTEST-000-383,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-383,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-aa3adfa821fe4490-114713,MARKET,BUY,0.02872133,GTC,False,False,0.02872133,TAKER,70550.4,0.0,['8.11 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,dd2d6e01-777d-4a2a-b27d-5d7e9232d521,2024-04-11 20:10:00+00:00,2024-04-11 20:10:00+00:00
O-20240411-211500-BACKTEST-000-384,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-384,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-9993374dc6b70c10-114764,MARKET,SELL,0.02872133,GTC,False,False,0.02872133,TAKER,70298.88,0.0,['8.08 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,eff6301b-eb67-410e-8ebd-9a2f67b5fdec,2024-04-11 21:15:00+00:00,2024-04-11 21:15:00+00:00
O-20240412-020500-BACKTEST-000-385,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-385,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-3220c8198a054c1c-114993,MARKET,BUY,0.02867642,GTC,False,False,0.02867642,TAKER,70416.0,0.0,['8.08 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,4159265b-2fa8-4420-a2c3-88076706c7d6,2024-04-12 02:05:00+00:00,2024-04-12 02:05:00+00:00
O-20240412-073500-BACKTEST-000-386,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-386,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-990afe2f68cad8d4-115250,MARKET,SELL,0.02867642,GTC,False,False,0.02867642,TAKER,70639.99,0.0,['8.10 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d7537dd5-2b76-4afd-88b2-6a0a74cffbf0,2024-04-12 07:35:00+00:00,2024-04-12 07:35:00+00:00
O-20240413-044500-BACKTEST-000-387,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-387,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-f9a81d93c7cd4c6c-116252,MARKET,BUY,0.02971295,GTC,False,False,0.02971295,TAKER,67861.0,0.0,['8.07 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,6ea7c73e-3046-4900-b832-dc99dc9f5010,2024-04-13 04:45:00+00:00,2024-04-13 04:45:00+00:00
O-20240413-053000-BACKTEST-000-388,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-388,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-c93fa44a098d9e0d-116289,MARKET,SELL,0.02971295,GTC,False,False,0.02971295,TAKER,67448.62000000001,0.0,['8.02 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,8cde5d3c-cb57-4f91-bfeb-a02818e6abac,2024-04-13 05:30:00+00:00,2024-04-13 05:30:00+00:00
O-20240413-110500-BACKTEST-000-389,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-389,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-a61908ba009ef3a1-116552,MARKET,BUY,0.02962652,GTC,False,False,0.02962652,TAKER,67772.0,0.0,['8.03 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,560ca385-6d28-4290-9575-5810eb9348c6,2024-04-13 11:05:00+00:00,2024-04-13 11:05:00+00:00
O-20240413-111000-BACKTEST-000-390,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-390,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-db2d68b66d908f51-116557,MARKET,SELL,0.02962652,GTC,False,False,0.02962652,TAKER,67559.05,0.0,['8.01 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e5cf2e36-9496-4447-a97d-2c53384c593f,2024-04-13 11:10:00+00:00,2024-04-13 11:10:00+00:00
O-20240413-152500-BACKTEST-000-391,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-391,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-1eb88164477c2b9c-116758,MARKET,BUY,0.02947887,GTC,False,False,0.02947887,TAKER,67884.0,0.0,['8.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5d3a465a-0a0e-4be9-807f-d44496c7d35f,2024-04-13 15:25:00+00:00,2024-04-13 15:25:00+00:00
O-20240413-160500-BACKTEST-000-392,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-392,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-f66ac2d3db0e67ed-116790,MARKET,SELL,0.02947887,GTC,False,False,0.02947887,TAKER,67568.0,0.0,['7.97 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,74e652da-2f7a-4e6c-9895-d5f0823148cf,2024-04-13 16:05:00+00:00,2024-04-13 16:05:00+00:00
O-20240414-062000-BACKTEST-000-393,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-393,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-e4d707b78c6f316a-117467,MARKET,BUY,0.03088557,GTC,False,False,0.03088557,TAKER,64546.64,0.0,['7.97 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,3e023e6d-2eac-4501-90b8-7366b15e9fca,2024-04-14 06:20:00+00:00,2024-04-14 06:20:00+00:00
O-20240414-093000-BACKTEST-000-394,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-394,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-a20b05e13e8421e2-117619,MARKET,SELL,0.03088557,GTC,False,False,0.03088557,TAKER,64256.99999999999,0.0,['7.94 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,32dee4f5-e9f6-481e-b2db-3fe2ed557f67,2024-04-14 09:30:00+00:00,2024-04-14 09:30:00+00:00
O-20240414-232000-BACKTEST-000-395,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-395,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-4505e3362cd73d39-118276,MARKET,BUY,0.02463925,GTC,False,False,0.02463925,TAKER,65521.92,0.0,['6.46 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,98cf08ef-efcc-406a-830d-3aad2b071d3e,2024-04-14 23:20:00+00:00,2024-04-14 23:20:00+00:00
O-20240415-021000-BACKTEST-000-396,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-396,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-39c310de4c0fdfae-118407,MARKET,SELL,0.02463925,GTC,False,False,0.02463925,TAKER,65140.12000000001,0.0,['6.42 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e0bf9767-fbd2-403b-bcbe-ff3a51cd20e4,2024-04-15 02:10:00+00:00,2024-04-15 02:10:00+00:00
O-20240415-061500-BACKTEST-000-397,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-1-397,BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000,KRAKEN-001,T-df85170c2c306a01-118604,MARKET,BUY,0.03001558,GTC,False,False,0.03001558,TAKER,65946.24,0.0,['7.92 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,0de226b4-db32-4167-8575-78d8b2f49e14,2024-04-15 06:15:00+00:00,2024-04-15 06:15:00+00:00
