position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-a3c359f8-564d-4cca-9ce0-4e609bab146a,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240121-101500-BACKTEST-000-71,O-20240121-114500-BACKTEST-000-72,BUY,FLAT,0.00000000,0.06603042,1705832100000000000,2024-01-21 10:15:00+00:00,1705837500000000000,2024-01-21 11:45:00+00:00,5400000000000,41766.11,41701.420000000006,['22.04 USD'],-0.00155,-26.31 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-fcd3e329-177f-428a-8c73-b94067740e73,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240121-133500-BACKTEST-000-73,O-20240121-151500-BACKTEST-000-74,BUY,FLAT,0.00000000,0.06573096,1705844100000000000,2024-01-21 13:35:00+00:00,1705850100000000000,2024-01-21 15:15:00+00:00,6000000000000,41836.310000000005,41743.82,['21.98 USD'],-0.00221,-28.06 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-5f5cfed8-0d76-45f9-a836-68e010cdb142,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240123-041500-BACKTEST-000-75,O-20240123-055500-BACKTEST-000-76,BUY,FLAT,0.00000000,0.06830006,1705983300000000000,2024-01-23 04:15:00+00:00,1705989300000000000,2024-01-23 05:55:00+00:00,6000000000000,40139.39,40069.340000000004,['21.92 USD'],-0.00175,-26.70 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-c44b1b96-23d1-44d6-af2c-91063d844975,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240123-173000-BACKTEST-000-77,O-20240123-184000-BACKTEST-000-78,BUY,FLAT,0.00000000,0.06905940,1706031000000000000,2024-01-23 17:30:00+00:00,1706035200000000000,2024-01-23 18:40:00+00:00,4200000000000,39582.049999999996,39317.53999999999,['21.79 USD'],-0.00668,-40.06 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-88ffd124-6719-4b58-8eb9-19b23990587b,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240123-230500-BACKTEST-000-79,O-20240124-032500-BACKTEST-000-80,BUY,FLAT,0.00000000,0.06869002,1706051100000000000,2024-01-23 23:05:00+00:00,1706066700000000000,2024-01-24 03:25:00+00:00,15600000000000,39619.990000000005,39619.98,['21.78 USD'],-0.0,-21.78 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-043e757d-8867-46f5-a1a1-5b1e8064a1c5,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240124-071000-BACKTEST-000-81,O-20240124-130000-BACKTEST-000-82,BUY,FLAT,0.00000000,0.06799993,1706080200000000000,2024-01-24 07:10:00+00:00,1706101200000000000,2024-01-24 13:00:00+00:00,21000000000000,39925.98,40007.009999999995,['21.74 USD'],0.00203,-16.23 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-e4c2ed93-d5c3-4c94-981f-2c816af45d3b,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240124-232000-BACKTEST-000-83,O-20240125-013500-BACKTEST-000-84,BUY,FLAT,0.00000000,0.06757344,1706138400000000000,2024-01-24 23:20:00+00:00,1706146500000000000,2024-01-25 01:35:00+00:00,8100000000000,40105.92,39990.899999999994,['21.65 USD'],-0.00287,-29.42 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-7989b689-3d57-445a-9e6c-6145bc371894,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240125-075500-BACKTEST-000-85,O-20240125-083000-BACKTEST-000-86,BUY,FLAT,0.00000000,0.06731295,1706169300000000000,2024-01-25 07:55:00+00:00,1706171400000000000,2024-01-25 08:30:00+00:00,2100000000000,40130.0,40037.0,['21.59 USD'],-0.00232,-27.85 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-6baf1f08-2228-4f79-a7aa-404dc153c231,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240125-111000-BACKTEST-000-87,O-20240125-121500-BACKTEST-000-88,BUY,FLAT,0.00000000,0.06697546,1706181000000000000,2024-01-25 11:10:00+00:00,1706184900000000000,2024-01-25 12:15:00+00:00,3900000000000,40207.47,40077.56,['21.51 USD'],-0.00323,-30.21 USD,True
BTC/USD.KRAKEN-KrakenBTCUSDResearchStrategy-000-5ab921d2-944c-4a8d-bb99-fc96ba344ced,KRAKEN-BACKTEST,KrakenBTCUSDResearchStrategy-000,BTC/USD.KRAKEN,KRAKEN-001,O-20240126-021000-BACKTEST-000-89,O-20240126-064500-BACKTEST-000-90,BUY,FLAT,0.00000000,0.06699205,1706235000000000000,2024-01-26 02:10:00+00:00,1706251500000000000,2024-01-26 06:45:00+00:00,16500000000000,40062.23,40036.57,['21.47 USD'],-0.00064,-23.19 USD,True
