asset,reference_basis,count,p50_absolute_divergence_bps_hourly,p75_absolute_divergence_bps_hourly,p90_absolute_divergence_bps_hourly,p95_absolute_divergence_bps_hourly,p99_absolute_divergence_bps_hourly,max_absolute_divergence_bps_hourly,mean_signed_divergence_bps_hourly,median_signed_divergence_bps_hourly,count_hl_funding_above_reference,count_hl_funding_below_reference,p99_positive_side_divergence_bps_hourly,p99_negative_side_absolute_divergence_bps_hourly
BTC,binance,12383,0.080275,0.1633405,0.40203339999999993,0.6093615999999997,1.094166210000001,5.855828000000001,0.11802975579423404,0.059175000000000005,8406,1608,1.2773732500000001,0.611526505
BTC,bybit,12383,0.08376249999999999,0.1742195,0.3954064999999997,0.59130675,1.081790370000001,5.855828000000001,0.11760246636517806,0.061024999999999996,8158,1479,1.2691301250000016,0.6799184200000002
BTC,median_reference,12383,0.0779,0.15763749999999999,0.3950600999999999,0.5949843,1.0823310000000017,5.855828000000001,0.11781611107970605,0.060125,9171,1687,1.205904499999999,0.6247375
ETH,binance,12383,0.07345,0.1698625,0.3819243999999998,0.5427987999999998,0.9249959600000015,2.2331860000000003,0.07743431902608415,0.029768499999999996,7292,2639,1.0707629850000002,0.6366555099999996
ETH,bybit,12383,0.077271,0.1789550000000001,0.36626359999999974,0.5265239999999998,0.91112985,2.2331860000000003,0.07971511830735686,0.02726250000000001,7073,2510,1.0689262799999988,0.6305871199999995
ETH,median_reference,12383,0.070767,0.16365000000000002,0.36961069999999996,0.5278331500000001,0.9238892650000007,2.2331860000000003,0.07857471866672051,0.03541875,8045,2669,1.034922780000001,0.6279781400000004
