asset,reference_basis,calendar_bucket_type,calendar_bucket,count,p50_absolute_divergence_bps_hourly,p95_absolute_divergence_bps_hourly,percentile_status
BTC,median_reference,utc_hour_of_day,1,516,0.07414375,0.41117256249999995,OK
BTC,median_reference,utc_hour_of_day,2,516,0.07398125,0.49065593750000003,OK
BTC,median_reference,utc_hour_of_day,3,516,0.0768475,0.56417775,OK
BTC,median_reference,utc_hour_of_day,4,516,0.078271875,0.635536625,OK
BTC,median_reference,utc_hour_of_day,5,516,0.0791625,0.6361246875,OK
BTC,median_reference,utc_hour_of_day,6,516,0.08024375,0.6431359375,OK
BTC,median_reference,utc_hour_of_day,7,516,0.07990312499999999,0.690893875,OK
BTC,median_reference,utc_hour_of_day,8,516,0.08003750000000001,0.6540595624999999,OK
BTC,median_reference,utc_hour_of_day,9,516,0.065221875,0.41435075,OK
BTC,median_reference,utc_hour_of_day,10,516,0.06904850000000001,0.4590720625,OK
BTC,median_reference,utc_hour_of_day,11,516,0.0746,0.50175,OK
BTC,median_reference,utc_hour_of_day,12,516,0.07481875,0.5331495624999999,OK
BTC,median_reference,utc_hour_of_day,13,515,0.0748375,0.5329034250000001,OK
BTC,median_reference,utc_hour_of_day,14,516,0.07564375000000001,0.6340906875,OK
BTC,median_reference,utc_hour_of_day,15,516,0.07564375000000001,0.6721938125,OK
BTC,median_reference,utc_hour_of_day,16,516,0.08081250000000001,0.61900225,OK
BTC,median_reference,utc_hour_of_day,17,516,0.072940625,0.44726899999999997,OK
BTC,median_reference,utc_hour_of_day,18,516,0.077734375,0.4446513125,OK
BTC,median_reference,utc_hour_of_day,19,516,0.07815312499999999,0.537317375,OK
BTC,median_reference,utc_hour_of_day,20,516,0.07996249999999999,0.6005155,OK
BTC,median_reference,utc_hour_of_day,21,516,0.0827475,0.6460572499999999,OK
BTC,median_reference,utc_hour_of_day,22,516,0.086713125,0.7115436875000001,OK
BTC,median_reference,utc_hour_of_day,23,516,0.085604875,0.7193290000000001,OK
BTC,median_reference,utc_day_of_week,1,1776,0.07856237500000002,0.6377095625,OK
BTC,median_reference,utc_day_of_week,2,1776,0.07795274999999999,0.7196821250000001,OK
BTC,median_reference,utc_day_of_week,3,1775,0.07338125,0.5614081749999998,OK
BTC,median_reference,utc_day_of_week,4,1776,0.069718125,0.5395189375,OK
BTC,median_reference,utc_day_of_week,5,1752,0.0753865,0.4249857125000002,OK
BTC,median_reference,weekday_vs_weekend,weekend,3504,0.07596875,0.47266119999999984,OK
BTC,median_reference,utc_day_of_week,6,1752,0.07596875,0.5435693500000003,OK
ETH,binance,utc_hour_of_day,0,516,0.08459375,0.671467,OK
ETH,binance,utc_day_of_week,0,1776,0.08696875,0.598598125,OK
ETH,binance,weekday_vs_weekend,weekday,8879,0.074675,0.5693055000000001,OK
ETH,binance,utc_hour_of_day,1,516,0.06927425,0.42498837500000003,OK
ETH,binance,utc_hour_of_day,2,516,0.06617349999999998,0.47866049999999993,OK
ETH,binance,utc_hour_of_day,3,516,0.07344324999999996,0.49835175000000004,OK
ETH,binance,utc_hour_of_day,4,516,0.07354375000000002,0.56740675,OK
ETH,binance,utc_hour_of_day,5,516,0.07620625,0.50987025,OK
ETH,binance,utc_hour_of_day,6,516,0.07698150000000002,0.556879125,OK
ETH,binance,utc_hour_of_day,7,516,0.07654375,0.635467625,OK
ETH,binance,utc_hour_of_day,8,516,0.07732275,0.572329375,OK
ETH,binance,utc_hour_of_day,9,516,0.06939574999999999,0.42747275,OK
ETH,binance,utc_hour_of_day,10,516,0.07109225,0.47981725,OK
ETH,binance,utc_hour_of_day,11,516,0.07349975,0.48964687500000004,OK
ETH,binance,utc_hour_of_day,12,516,0.06380625000000001,0.5276958749999999,OK
ETH,binance,utc_hour_of_day,13,515,0.06596749999999996,0.5275503,OK
ETH,binance,utc_hour_of_day,14,516,0.06611899999999998,0.47568,OK
ETH,binance,utc_hour_of_day,15,516,0.06733775,0.585085875,OK
ETH,binance,utc_hour_of_day,16,516,0.07964125,0.590202,OK
ETH,binance,utc_hour_of_day,17,516,0.067039,0.42498,OK
ETH,binance,utc_hour_of_day,18,516,0.06955625,0.53669525,OK
ETH,binance,utc_hour_of_day,19,516,0.0758505,0.602163625,OK
ETH,binance,utc_hour_of_day,20,516,0.078146,0.5704575000000001,OK
ETH,binance,utc_hour_of_day,21,516,0.07619999999999999,0.6244574999999999,OK
ETH,binance,utc_hour_of_day,22,516,0.07925774999999999,0.6460681250000001,OK
ETH,binance,utc_hour_of_day,23,516,0.07751425,0.65551775,OK
ETH,binance,utc_day_of_week,1,1776,0.08954174999999998,0.59340475,OK
ETH,binance,utc_day_of_week,2,1776,0.0730935,0.576307125,OK
ETH,binance,utc_day_of_week,3,1775,0.0649275,0.5661688999999998,OK
ETH,binance,utc_day_of_week,4,1776,0.06772500000000001,0.518267875,OK
ETH,binance,utc_day_of_week,5,1752,0.06961624999999999,0.5000008000000001,OK
ETH,binance,weekday_vs_weekend,weekend,3504,0.06986825,0.48097264999999995,OK
ETH,binance,utc_day_of_week,6,1752,0.0700625,0.4516018000000003,OK
ETH,bybit,utc_hour_of_day,0,516,0.0845535,0.6787752499999999,OK
ETH,bybit,utc_day_of_week,0,1776,0.1009,0.5892225,OK
ETH,bybit,weekday_vs_weekend,weekday,8879,0.0797435,0.5605471000000002,OK
ETH,bybit,utc_hour_of_day,1,516,0.07660125000000001,0.42059750000000007,OK
ETH,bybit,utc_hour_of_day,2,516,0.064225,0.4668325000000001,OK
ETH,bybit,utc_hour_of_day,3,516,0.07453125000000001,0.49438475000000004,OK
ETH,bybit,utc_hour_of_day,4,516,0.07897125000000002,0.558919625,OK
ETH,bybit,utc_hour_of_day,5,516,0.08440700000000001,0.52046525,OK
ETH,bybit,utc_hour_of_day,6,516,0.079425,0.5816418750000001,OK
ETH,bybit,utc_hour_of_day,7,516,0.08445650000000002,0.625548875,OK
ETH,bybit,utc_hour_of_day,8,516,0.08112375000000001,0.5698217499999999,OK
ETH,bybit,utc_hour_of_day,9,516,0.0723125,0.372684,OK
ETH,bybit,utc_hour_of_day,10,516,0.07183400000000001,0.44730812500000006,OK
ETH,bybit,utc_hour_of_day,11,516,0.07409725,0.47191299999999997,OK
ETH,bybit,utc_hour_of_day,12,516,0.07392399999999999,0.53405675,OK
ETH,bybit,utc_hour_of_day,13,515,0.077271,0.5271528000000001,OK
ETH,bybit,utc_hour_of_day,14,516,0.07692724999999999,0.45970812499999997,OK
ETH,bybit,utc_hour_of_day,15,516,0.07751449999999999,0.5727766249999999,OK
ETH,bybit,utc_hour_of_day,16,516,0.084706,0.552982125,OK
ETH,bybit,utc_hour_of_day,17,516,0.0651375,0.401272,OK
ETH,bybit,utc_hour_of_day,18,516,0.0667315,0.46854399999999996,OK
ETH,bybit,utc_hour_of_day,19,516,0.07522675000000002,0.577477375,OK
ETH,bybit,utc_hour_of_day,20,516,0.07782049999999999,0.5171397499999999,OK
ETH,bybit,utc_hour_of_day,21,516,0.089451,0.656340375,OK
ETH,bybit,utc_hour_of_day,22,516,0.088003,0.6291387500000001,OK
ETH,bybit,utc_hour_of_day,23,516,0.08474374999999999,0.6275286250000001,OK
ETH,bybit,utc_day_of_week,1,1776,0.08025025,0.609418,OK
ETH,bybit,utc_day_of_week,2,1776,0.07582824999999999,0.577177625,OK
ETH,bybit,utc_day_of_week,3,1775,0.07311999999999999,0.49407499999999993,OK
ETH,bybit,utc_day_of_week,4,1776,0.06957849999999996,0.50192825,OK
ETH,bybit,utc_day_of_week,5,1752,0.06547700000000001,0.45391445000000014,OK
ETH,bybit,weekday_vs_weekend,weekend,3504,0.071428,0.4524298999999999,OK
ETH,bybit,utc_day_of_week,6,1752,0.073892,0.44511545000000036,OK
ETH,median_reference,utc_hour_of_day,0,516,0.08045325,0.6808633749999999,OK
ETH,median_reference,utc_day_of_week,0,1776,0.090535625,0.5676829375000001,OK
ETH,median_reference,weekday_vs_weekend,weekday,8879,0.07245425000000005,0.5577857750000004,OK
ETH,median_reference,utc_hour_of_day,1,516,0.070571875,0.4147443125,OK
ETH,median_reference,utc_hour_of_day,2,516,0.061606875,0.4801424999999999,OK
ETH,median_reference,utc_hour_of_day,3,516,0.074309375,0.5088679375,OK
ETH,median_reference,utc_hour_of_day,4,516,0.07333125,0.5641451875,OK
ETH,median_reference,utc_hour_of_day,5,516,0.07771087500000001,0.50987025,OK
ETH,median_reference,utc_hour_of_day,6,516,0.07530324999999999,0.5754459999999999,OK
ETH,median_reference,utc_hour_of_day,7,516,0.07916562499999999,0.63474825,OK
ETH,median_reference,utc_hour_of_day,8,516,0.072850375,0.544807625,OK
ETH,median_reference,utc_hour_of_day,9,516,0.06476875,0.375990875,OK
ETH,median_reference,utc_hour_of_day,10,516,0.06870275,0.44359375,OK
ETH,median_reference,utc_hour_of_day,11,516,0.0673005,0.48200137499999995,OK
ETH,median_reference,utc_hour_of_day,12,516,0.06653062500000001,0.5322715625,OK
ETH,median_reference,utc_hour_of_day,13,515,0.06805,0.5052973500000001,OK
ETH,median_reference,utc_hour_of_day,14,516,0.06917937499999999,0.4504841875,OK
ETH,median_reference,utc_hour_of_day,15,516,0.06610900000000003,0.566386375,OK
ETH,median_reference,utc_hour_of_day,16,516,0.07506875000000002,0.562628,OK
ETH,median_reference,utc_hour_of_day,17,516,0.061443750000000005,0.41305075,OK
ETH,median_reference,utc_hour_of_day,18,516,0.06383875000000006,0.5108455624999999,OK
ETH,median_reference,utc_hour_of_day,19,516,0.07334499999999998,0.6110493124999999,OK
ETH,median_reference,utc_hour_of_day,20,516,0.07495850000000001,0.5329753125000001,OK
ETH,median_reference,utc_hour_of_day,21,516,0.07712174999999999,0.6426219375000001,OK
ETH,median_reference,utc_hour_of_day,22,516,0.0775025,0.6306809375,OK
ETH,median_reference,utc_hour_of_day,23,516,0.07440687500000001,0.64366375,OK
ETH,median_reference,utc_day_of_week,1,1776,0.083139625,0.60808825,OK
ETH,median_reference,utc_day_of_week,2,1776,0.0680875,0.5853863125000001,OK
ETH,median_reference,utc_day_of_week,3,1775,0.06585325,0.5125461499999999,OK
ETH,median_reference,utc_day_of_week,4,1776,0.061940375000000006,0.5074614999999999,OK
ETH,median_reference,utc_day_of_week,5,1752,0.06682975,0.4796963000000001,OK
ETH,median_reference,weekday_vs_weekend,weekend,3504,0.06682975,0.466910475,OK
ETH,median_reference,utc_day_of_week,6,1752,0.06681524999999999,0.46079233750000026,OK
