address,total_fills,close_fill_count,open_fill_count,nonzero_closedPnl_count,nonzero_closedPnl_ratio,close_like_cluster_score,large_close_ratio,dir_distribution
0xc50aa1e77492ab1090de92866ae91303e9981d98,1821,1027,792,1029,0.5650741350906096,0.5645249862712796,0.28775398132894014,"{'Close Short': 511, 'Short > Long': 1, 'Open Long': 421, 'Close Long': 516, 'Long > Short': 1, 'Open Short': 371}"
0x15df49f74171cd2157c89084f63e15fbd12c6ca1,5263,2538,2725,2538,0.482234467034011,0.482234467034011,0.2910887326619799,"{'Close Short': 757, 'Open Long': 2725, 'Close Long': 1781}"
0x06a3481efd4c3e14611fb4679ba101e337db05f9,2055,1069,986,1069,0.5201946472019465,0.5201946472019465,0.31046228710462287,"{'Close Long': 982, 'Open Long': 879, 'Open Short': 107, 'Close Short': 87}"
0x549e6dd8453ed87fccdcf4f8b37162b10edc0533,6793,1522,3532,2063,0.3036949801266009,0.26387457677020465,0.22405417341380834,"{'Sell': 547, 'Buy': 1192, 'Open Long': 3532, 'Close Long': 1522}"
0x3e02519a47cef3d4464944c4815fad9e5837e767,1663,0,1663,0,0.0,0.0,0.0,"{'Open Short': 563, 'Open Long': 1100}"
0x43e43c8c5ff17cf796c7db44468697984ed19deb,2750,1399,1351,1365,0.49636363636363634,0.5025454545454545,0.0,"{'Open Long': 1350, 'Close Long': 1398, 'Open Short': 1, 'Close Short': 1}"
0x4322fd98f95a219d2aae2bba6664e3574b4c3708,6712,3,5577,1135,0.16910011918951132,0.0847735399284863,0.0,"{'Sell': 1132, 'Open Long': 5577, 'Close Long': 3}"
0x9b5a536ca04bb1a54d732e497e75b3c592a4de46,1626,1222,402,1224,0.7527675276752768,0.7521525215252153,0.6820418204182042,"{'Close Long': 1222, 'Long > Short': 2, 'Open Short': 402}"
0x77eeda199553e33b246e4b4666849b9ad0972902,1517,864,645,872,0.5748187211601846,0.5721819380355966,0.3256427158866183,"{'Open Short': 569, 'Close Long': 170, 'Long > Short': 4, 'Close Short': 694, 'Short > Long': 4, 'Open Long': 76}"
0x8e096995c3e4a3f0bc5b3ea1cba94de2aa4d70c9,1632,1502,130,1502,0.9203431372549019,0.9203431372549019,0.8982843137254902,"{'Open Short': 130, 'Close Short': 1502}"
0xec0bb262ef7de43027437af9fdfbba8e0188c05b,2393,119,1328,196,0.08190555787714167,0.06581696615127455,0.04972837442540744,"{'Sell': 77, 'Close Short': 119, 'Buy': 869, 'Open Short': 1328}"
0xe5abbf19d40031a00eed4714979a2eff4cbb303f,1719,1003,716,1003,0.58347876672484,0.58347876672484,0.58347876672484,"{'Open Long': 716, 'Close Long': 1003}"
0xca0736756a24f8c8d2b1840b3b46e4133966f5bb,1456,663,793,663,0.45535714285714285,0.45535714285714285,0.45535714285714285,"{'Open Long': 793, 'Close Long': 663}"
0xb317d2bc2d3d2df5fa441b5bae0ab9d8b07283ae,1920,0,1920,0,0.0,0.0,0.0,{'Open Short': 1920}
0x1d52fe9bde2694f6172192381111a91e24304397,5985,5985,0,5985,1.0,1.0,0.9959899749373433,{'Close Long': 5985}
