address,total_fills,unique_coins,frozen_coins,non_frozen_coins,total_gross_turnover,net_delta_ratio,pairability_rate,burst_score,concentration_score,close_fill_count,nonzero_closedPnl_ratio,close_like_cluster_score,large_close_ratio,side_B,side_A
0xbfc79c444c41a74516bf31237ebf586a231480b4,4069,18,6,12,2057341.978822,0.9818301880169654,0.08699926271811256,0.9130007372818875,0.1297616121897272,3886,0.9977881543376751,0.9764069796018677,0.8933398869501106,3892,177
0x010461c14e146ac35fe42271bdc1134ee31c703a,117111,180,33,147,46488974.984991,0.05112345374537322,0.9450862856606126,0.054913714339387416,0.026974408894126084,52505,0.4506408450102894,0.4494880924934464,0.3547830690541452,55340,61771
0x31ca8395cf837de08b24da3f660e77761dfb974b,124684,180,33,147,46278342.743712,0.019087228979089155,0.9172467999101729,0.08275320008982709,0.02710051008950627,66281,0.5339979468095345,0.5327949055211575,0.414728433479837,57183,67501
0xb81015ed7e1619905757bfffc226a1891263561e,8768,150,31,119,3131445.959207,0.09713314493986241,0.9140054744525548,0.08599452554744526,0.06740419708029197,5109,0.6161040145985401,0.5993955291970803,0.3845802919708029,4761,4007
0x1c1c270b573d55b68b3d14722b5d5d401511bed0,33001,33,18,15,32496024.7282919,0.0029679797406951813,0.8965182873246266,0.10348171267537347,0.14511681464198053,10731,0.5561649646980394,0.44066846459198206,0.03281718735795885,14793,18208
0xf9109ada2f73c62e9889b45453065f0d99260a2d,41994,59,22,37,329070068.0919962,0.1912791736317745,0.9114635424108206,0.08853645758917941,0.12761346859075107,19658,0.5742487021955518,0.5211815973710531,0.2003619564699719,19138,22856
0x6a0b567be46b51ad02db4ebdf90d057ecb02f864,2499,8,4,4,1026341.504721,0.2004912132058199,0.9187675070028011,0.08123249299719888,0.4169667867146859,1123,0.4657863145258103,0.4575830332132853,0.26850740296118447,1351,1148
0xcb525be5530b95a1f3b2056f380ad3be61a648ea,12344,6,2,4,14745343.117851,0.0020750201514102996,0.9178548282566429,0.0821451717433571,0.2931788723266364,5859,0.6012637718729748,0.537953661697991,0.023088139987038236,5665,6679
0x6d95abc473b98bb06986ed858c3ae4c5d9d7e05b,5761,105,19,86,748829.806035,0.03134734191643921,0.936990105884395,0.06300989411560493,0.29352542961291445,3057,0.5448706821732339,0.5377538621767055,0.4658913383093213,3062,2699
0xc6d7fdfbcb55d6cad6570c5838de394d2aa24015,9793,2,1,1,2273813.3068,0.03568168002947497,0.9594608393750638,0.04053916062493618,0.9917287858674564,53,0.5228224241805371,0.26411722659042175,0.005412029000306341,4698,5095
0x9266865bb6afb4c4f618544dd3b8c970f17aa664,31537,38,12,26,40530269.28791322,0.007371563257415081,0.9465706947395123,0.05342930526048768,0.10838063227320291,7007,0.5123822811301012,0.3672828740844088,0.06110283159463487,14926,16611
0x47930c76790c865217472f2ddb4d14c640ee450a,2691,8,3,5,1502362.925222,0.2905296718231398,0.2147900408769974,0.7852099591230026,0.45076179858788556,248,0.1073950204384987,0.09977703455964326,0.03753251579338536,2402,289
0xfab134fc24fe340e9e997e89147bdc0d944958f8,37612,34,16,18,37043303.962274,0.008099719989598391,0.9383707327448687,0.06162926725513134,0.1536743592470488,20396,0.5822875677975115,0.5622806551100712,0.01651068807827289,17647,19965
0xdbfa2a585b5ed6115950a3eaead82df47918304d,2866,105,29,76,1903328.350119,0.02923203799256255,0.933705512909979,0.06629448709002093,0.0799023028611305,1410,0.5436147941381717,0.5177948360083741,0.32763433356594557,1338,1528
0xe056eebc2c7acfc782d47ebe18ad71735480f72a,12753,33,18,15,15041897.79943,0.060761995100288096,0.9669881596487101,0.033011840351289894,0.18615227789539715,6142,0.5056065239551478,0.493609346820356,0.09887869520897044,6587,6166
0x953996a8b3e3c9b2ecc13664950910d013c060a5,2884,97,30,67,3225355.345589,0.020421213692648772,0.8515950069348127,0.14840499306518723,0.11095700416088766,1331,0.4944521497919556,0.47798196948682387,0.27981969486823854,1228,1656
0x59891acadc0f8b2bcab10c043ac5fc63628b1716,1960,75,25,50,3333901.809158,0.06833228483520809,0.8163265306122449,0.1836734693877551,0.11734693877551021,871,0.46938775510204084,0.4568877551020408,0.288265306122449,800,1160
0x32051a0c36af1449e0eee08146a808115ccc40bb,7075,4,2,2,36830232.556911,0.020810670915657237,0.7578798586572438,0.2421201413427562,0.44890459363957597,3704,0.5253710247349823,0.524452296819788,0.26996466431095406,2681,4394
0xa289ee1e56c0d5d041db762e6123e78af0f7d9ad,70040,49,16,33,104666382.828644,0.05750667529833446,0.9398058252427185,0.06019417475728155,0.17254426042261564,39035,0.5648629354654483,0.561093660765277,0.13679326099371789,32912,37128
0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,99555,71,26,45,432261499.77091753,0.19211331318994973,0.8646476821857265,0.1353523178142735,0.09148711767364773,39683,0.5033699964843554,0.4509868916679223,0.3725679272763799,56515,43040
0x80196a7475464e06de641df6c66e6e278cd364d5,5113,3,1,2,18260817.78888,0.04167892572387802,0.7396831605710933,0.2603168394289067,0.6154899276354391,1172,0.6289849403481322,0.4291022882847643,0.04244083708194798,1891,3222
0x162cc7c861ebd0c06b3d72319201150482518185,115694,24,4,20,553601194.0239518,0.0018968569516219593,0.8979722371082338,0.10202776289176621,0.1655314882362093,24866,0.5394921084930938,0.3772105727176863,0.043736062371428075,51945,63749
